,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Akihito es un vendedor reconocido por sus compañeros de trabajo como optimista y enérgico. Como necesitaba entregar algo, hizo a su hermano una visita repentina. Para su sorpresa, encontró a su hermano y a su estricto jefe... ¿teniendo sexo en el pasillo?",Josei,MANGA,Half Cigarette ( 2015 ),"Romance, Boys Love, Recuentos de la vida",9.67,FINALIZADO,https://otakuteca.com/images/books/cover/19968_TMOManga57d730d92d6c8.jpg,17.7K,8.9K,7.2K,4.1K,1.5K,458,96471e55-5388-41e8-ab31-0b2f241ea0d8
1,"""Un amor no correspondido es como un Metro que corre bajo tierra"". Nozomi, una estudiante universitaria siempre ha estado secretamente enamorada de su senpai Shusuke. Desafortunadamente, él ya está en una dichosa relación con Moe-san, una belleza tan encantadora y de buen corazón que Nozomi no puede incluso tener resentimiento hacia ella. Un día, su amor unilateral es descubierto por nada menos que Atsushi, el hermano de Moe-san, y es donde comienzan los problemas de Nozomi...",Josei,MANGA,Renai Metro ( 2015 ),"Comedia, Romance",3.25,FINALIZADO,https://otakuteca.com/images/books/cover/19969_TMOManga57d75b1184fc4.jpg,4K,2.6K,3.7K,713,307,386,4b8b0489-ee91-44ff-95ed-cc20bf02fab4
2,"""Creo que he encontrado una excelente manera de aliviar el estrés"" Naito Akira: trabaja en una oficina de diseño. 29 años de edad. El trabajo es duro. Su tema de interés romántico: los hombres. Tiene una política: nunca acostarse con la misma persona dos veces. Después de encontrarse con un Seo sin experiencia sexual en un bar, comienza a darle lecciones de sexo para matar el tiempo. Este hombre heterosexual estaba destinado a ser suyo para violar, pero las cosas no van como se esperaba. Un joven y serio hombre y un hombre hermoso, heridos románticamente en el pasado, participan en clases de sexo los viernes por la noche.",Josei,MANGA,Kainarasu Hazuga Aegasarete Komattemasu ( 2018 ),"Boys Love, Romance, Recuentos de la vida",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/5b535d488ba29.jpg,8.5K,3.6K,5.7K,2.2K,755,289,ffa15c94-a318-445b-8c3c-b7e500f87622
3,"“Encontré un gran pene (Amante) destinado” Un chico virgen con un complejo de corazón puro x El más caliente prostituto en busca del pene ideal. Suno ¡Hoy también está trabajando duro para TNK buscando en el baño público y por fin encontró a una persona ideal! Fue Otake, que recientemente se mudó al apartamento de al lado. A pesar de que comienza a ser atacado rápidamente, le preocupa que lo tome como una tontería. Sin embargo, un día, encuentra a Otake frustrado por una novia, así que Suno usa su cuerpo para consolarlo…?!",Josei,MANGA,Centímetros de Amor ( 2016 ),"Boys Love, Comedia, Romance",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/5bc69e09424f9.jpg,6.4K,2.3K,3.2K,1.2K,491,253,ae113554-7a9c-46dd-9946-382c111df57e
4,"No existe tal cosa como una hermana mayor que odia a su hermana menor. Cada hermana mayor en la faz de la Tierra ama mucho a su hermana menor. Yo, Sakura Shima, tengo una adorable hermana un año menor que yo. La comedia de la hermana Yuri de la que todo el mundo habla.",Josei,MANGA,"Su hermana mayor está enamorada de ella, pero a ella no le importa. ( 1997 )","Comedia, Familia, Girls Love, Romance, Recuentos de la vida",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5e17a1bd68a1c.jpg,478,1.2K,2.6K,420,206,141,2533a7dd-81f9-4154-9c26-ead262f9cfd5
5,"Secuela de Rouge, donde Nagato es ahora el jefe de Yashima después de que Yamato se graduó y se convirtió en el jefe del Grupo Bidou.",Josei,MANGA,la vie en rose ( 2018 ),"Boys Love, Drama, Romance",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e267fced13f4.jpg,880,1.6K,2.1K,720,378,131,529f16e8-8c80-4a28-a58c-0c7f2b62863d
6,"Shintaro Kisaragi --un HikiNEET quien se encerró así mismo en su habitación por 2 años-- ha estado viviendo su vida normalmente hasta conocer a una ciber chica llamada Ene, quien apareció en la pantalla de su computadora cuando alguien anónimamente le envió un misterioso email un año atrás. Un día, Ene había estado metiéndose con la PC de Shintaro, lo cual le causa tener que ir al mundo exterior por primera vez en 2 años.",Seinen,MANGA,Kagerou Days ( 2012 - 2019 ),"Comedia, Recuentos de la vida, Sobrenatural, Psicológico, Romance, Ciencia Ficción",9.20,FINALIZADO,https://otakuteca.com/images/books/cover/5f1a7fea81208.jpg,591,3.4K,3.4K,644,272,153,774e3085-79fd-4aa6-9569-b41dd9915355
7,"Ambos hermanos huerfanos, Daato y Bella [Ω], fueron acogidos por una Iglesia cuyo proposito es casar a los Omegas despues de su primer celo. Pero Daato descubre que en realidad el Sacerdote a cargo los venden a un dueño de un prostíbulo. Tras ese hecho, Daato intenta conseguir dinero para huir con su hermana, pero es arrastrado al Trafico de Bestias y tras una redada conoce al hombre bestia Juda [⍺]. Precuela: Pendulum: Kemonohito Omegaverse",Josei,MANGA,Remnant: Kemonohito Omegaverse ( 2016 ),"Drama, Fantasia, Sobrenatural, Boys Love, Romance",9.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/29698_TMOManga598f4ca3531f1.jpg,4.8K,9K,19.8K,6.3K,2.3K,1.1K,f5b0501c-0e19-40fd-a1ad-22f7c3137051
8,"(En el embarazo por calor x omegaverse) Kumo de la tribu de perros de montaña fue recogido por Kin de la tribu de gatos y vive cerca de un médico de la tribu de lobos de los omegas, Ise. Ya sea que Kumo tenga las características de un perro, tiende a hacer mordiscos y licks juguetones hacia Kin. Sin embargo, el hecho de que Ise estuviera satisfecho con su excelente compatibilidad hace que el dolor del corazón de Kin ...",Josei,MANGA,Omega Shunki ( 2017 ),"Boys Love, Romance, Sobrenatural",7.67,FINALIZADO,https://otakuteca.com/images/books/cover/62af2ace15aad.jpg,14K,4.2K,6.1K,4.1K,1.5K,585,853b1ad4-1eb8-4baf-954e-0770828930ca
9,"La madre de Akasegawa Naoya se ha vuelto a casar y él repentinamente se encuentra tratando de llevarse bien con su nueva hermana mayor Amane, una chica que asiste a la prestigiosa Escuela de Chicas Kasugano. Pero su nueva hermana no es lo que él imaginaba.",Josei,MANGA,Binetsu Kuukan ( 2014 ),"Comedia, Romance",8.67,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5cbe070127d11.jpg,309,2.1K,5.2K,525,202,196,42ac507d-f05b-4fb6-b5d2-d8759d7870a2
10,¿Qué pasa si tu novia pierde sus memorias?,Josei,MANGA,Bright and Cheery Amnesia ( 2016 ),"Comedia, Romance, Recuentos de la vida, Girls Love",9.83,FINALIZADO,https://otakuteca.com/images/books/cover/5ffd293f73f8f.jpg,2.3K,3.7K,8.3K,1.5K,439,364,2329282a-d6c1-48e5-8568-8b586c552f24
11,"Jun trabaja en un bar que en ciertas ocasionas hace espectáculos de SM en el cual el actúa de protagonista. Pero un día uno de los clientes frecuentes lo espera luego del trabajo, resulta ser un masoquista y le pide tener sexo con el, y aunque Jun no se considera un sadico, este masoquista no se rendirá.",Josei,MANGA,Ai Subeki Sadist ( 2018 ),"Boys Love, Romance, Drama",7.00,FINALIZADO,https://otakuteca.com/images/books/cover/34307_TMOManga5a4ef17e87c0a.jpg,10.9K,2.9K,3.4K,2.2K,853,280,a75d5056-6c33-4724-9245-ea6fbeb29c0c
