,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"La historia gira alrededor de Aki y Sora Aoi, una pareja de hermanos que han compartido un vínculo íntimo desde la infancia. Al crecer, ambos se han dado cuenta de la verdadera profundidad del afecto que sienten uno por el otro, consumando su amor en secreto. Viven con su hermana gemela menor, Nami. Ella encuentra extraña la estrecha relación entre Aki y Sora, es por eso que durante algún tiempo intenta establecer una relación entre Sora y su mejor amiga, Kana Sumiya. A pesar de que Nami pretende una relación entre Sora y Kana, ella tiene un profundo interés en su amiga.",Seinen,MANGA,Aki-Sora ( 2008 ),"Ecchi, Romance, Harem, Drama, Vida Escolar, Recuentos de la vida",4.90,FINALIZADO,https://otakuteca.com/images/books/cover/5f1641ee11f5e.jpg,6.5K,5.6K,5.1K,2K,1K,619,6bd2bceb-687f-41f3-9546-4ae47d7adb3a
1,"Un día yo, un estudiante de secundaria, encontré un libro en el hospital. El libro se titulaba “la novela de la enfermedad”, el cual fue escrito por mi compañera de clases, Sakura Yamauchi, donde escribía su más oculto secreto. DEBIDO A SU ENFERMEDAD LE QUEDABAN POCO TIEMPO DE VIDA. Y Por cosas del destino me convertí en su-compañero-de-clases-que-conoce-su-secreto.",Seinen,MANGA,Quiero comerme tu páncreas ( 2016 - 2017 ),"Drama, Recuentos de la vida, Romance, Tragedia, Vida Escolar, Realidad",9.43,FINALIZADO,https://otakuteca.com/images/books/cover/5d1b44b4d0c75.jpg,5.3K,6.5K,4.4K,3K,703,195,5998e923-370f-4472-ace5-32de4e6c9e1d
2,"Por los últimos diez años he estado enamorado de mi amiga de la infancia, quien es dos años mayor que yo. Nuestra promesa cuando éramos niños era que nos casaríamos cuando yo fuera más alto que ella, ¿¡Entonces por qué demonios es tan difícil superar la diferencia de estatura!?",Shounen,MANGA,Okikunattara kekkon suru! ( 2019 ),"Comedia, Romance, Vida Escolar",6.00,FINALIZADO,https://otakuteca.com/images/books/cover/5d67e6901ab7e.jpg,1.8K,3.3K,6.6K,1.3K,579,262,6b7da512-46b0-45dd-b966-c6978d3ce653
3,"En un determinado café, hay muchas personas diferentes con atributos únicos como tsundere, hermana pequeña, etc. La nueva trabajadora a tiempo parcial, Maika, ha sido invitada por el dueño de la tienda para llenar el papel de ¿¡súper sádica?! Ahora, mientras hace todo lo posible para trabajar duro, también florece como una súper sádica... Stomping como camino a la victoria, esta es una comedia de trabajo pervertida!",Seinen,MANGA,Blend S ( 2017 - 2022 ),"Recuentos de la vida, Comedia",9.14,FINALIZADO,https://otakuteca.com/images/books/cover/30977_TMOManga59c45b3355a46.jpg,368,3.1K,4.1K,989,322,170,beaab9a9-82d7-46d1-a960-b552c8f36458
4,"Seto es un chico serio que lleva una tranquila vida en el instituto, hasta que comienza a ser molestado por su compañera Gal llamada Anjou.",Seinen,MANGA,Yancha Gal no Anjou-san. ( 2017 ),"Comedia, Ecchi, Vida Escolar",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/614f649123e31.jpg,1.1K,3.5K,10.1K,1K,358,361,569a4e49-cab9-48a5-9e6f-96e38cffffd7
5,"New Nana & Kaoru's spin-off, serializado en la revista digital recientemente lanzada (28/11/18) ""Harem"" (ハ レ ム), dirigida a adultos. La historia tiene lugar en el tercer año de secundaria, después del final del manga, pero antes de Black Label (también conocido como Arashi). <Nota: Esta serie también se vende en volúmenes recopilatorios bajo el título Nana to Kaoru Last Year, pero la serialización original en la revista Harem sigue conservando el título Nana to Kaoru: Koukousei no SM gokko>",Seinen,MANGA,Nana to Kaoru: Last Year ( 2018 - 2021 ),"Comedia, Ecchi, Romance, Vida Escolar, Harem",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/61bbd73965ead.jpg,856,2.9K,5.1K,1.3K,740,497,c44cbab1-9795-4152-b374-08f242e37409
6,"""Un día encontraré a una chica que se vuelva loca por mí"". Nobunaga es un profesor que siempre ha tenido en la cabeza la idea de que algún día vivirá una situación típica de los simuladores de citas. Lo que parecía improbable se hace realidad, o al menos en parte, el día que una chica de 14 años llamada Kicho aparece ante él y le dice que es... ¡su esposa! Parece ser que la joven ha viajado en el tiempo desde la Era Sengoku y ha confundido a nuestro profesor por Oda Nobunaga, así que quiere que él sea quien la ayude a engendrar un hijo digno de su fama.",Seinen,MANGA,Nobunaga-sensei no Osanazuma ( 2017 ),"Comedia, Ecchi, Fantasia, Harem, Historia, Romance, Boys Love",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5cb4cfbe166eb.jpg,202,1.2K,2.4K,401,171,162,8a14631d-a631-4e45-af41-11ed1caabfa2
7,"En el futuro, se estrena una aplicación que puede simular tu romance con una pareja de tu elección y calcular la puntuación de compatibilidad. ¿Es esta una forma de tener un romance que nunca falla? ¿Qué es lo que la gente busca en un romance de todos modos?",Seinen,MANGA,Love Score ( 2020 ),"Ecchi, Romance, Vida Escolar, Recuentos de la vida",9.25,FINALIZADO,https://otakuteca.com/images/books/cover/5f640caa42afb.jpg,1.2K,2.2K,4.3K,898,426,232,809394be-62c3-463f-9a74-1d46f585f090
8,"Makoto conoce a una dulce y tímida chica llamada haruna mientras ayuda en el festival escolar de atletismo. El se le declara a ella la siguiente vez que la ve, y ella lo rechaza sin dudarlo, solamente para llamarlo mas tarde para pedirle que salga con ella! El motivo de todas estas confusiones es la “malvada” hermana gemela de haruna, natsumi. Natsumi es todo lo contrario de haruna, ella es una persona extrovertida y perversa que está decidida en arrebatarle lo que sea que pueda a su hermana gemela. Makoto queda atrapado en medio de la pelea entre haruna y natsumi para ver quien se quedará con él al final.",Seinen,MANGA,"between HARU and NATSU, I am... ( 2008 - 2014 )","Comedia, Ecchi, Romance, Harem, Vida Escolar, Drama, Recuentos de la vida",6.40,FINALIZADO,https://otakuteca.com/images/books/cover/5fd55974949b7.jpg,4.5K,4.1K,6.9K,591,281,219,7f466225-3ae1-445a-a589-16714aec7e18
9,"El mundo es gobernado por espíritus, duendes y toda clase de criaturas. Los humanos son perseguidos, hasta el punto de la extinción. Un día, un Golem y una solitaria niña humana se conocen. Esta es la historia de este par, uno miembro de una raza en ruina, otro un vigilante del bosque. Cuenta sus viajes juntos, y el lazo que los uno como padre e hija.",Seinen,MANGA,Somali to Mori no Kami-sama ( 2015 ),"Aventura, Recuentos de la vida, Fantasia",7.50,CANCELADO,https://otakuteca.com/images/books/cover/14338_TMOmanga010925.jpg,638,5K,8.9K,895,278,341,37c39a08-f970-4955-8e75-9d1bd552e210
10,"Yataro Yaguchi finalmente encuentra una vocación en el arte, sin experiencia previa en la técnica, decide trabajar para postularse a una universidad de arte, si antes saber lo difícil que puede ser la realidad.",Seinen,MANGA,Blue Period ( 2019 ),"Drama, Vida Escolar, Historia, Realidad, Recuentos de la vida",9.53,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ccbf59b2de49.jpg,1.1K,11.7K,20.5K,5.7K,1.9K,616,b56ea554-dc12-4860-bb1d-c3695d2fa780
11,"El manga sigue a una chica ""angelical"" hermosa en una escuela secundaria con un cierto secreto que ha estado escondiendo de todo el mundo, y un hikikomori varón, joven y ocioso (que anormalmente evita el contacto social); el punto culminante de su día es ver a Mari en la tienda de conveniencia. La historia comienza cuando Mari se despierta en su habitación, pero siente algo malo por la habitación e incluso su propio cuerpo.",Seinen,MANGA,Boku wa Mari no Naka ( 2012 - 2016 ),"Drama, Sobrenatural, Misterio, Psicológico, Romance, Género Bender",9.63,FINALIZADO,https://otakuteca.com/images/books/cover/5dba083baa33b.jpg,4.2K,4.9K,4.7K,888,395,260,c6ec97c1-75e0-4f37-8258-0ab8a6e93f10
12,"Esta historia nos presenta al personaje de Kadokura Kyouko, profesora de primaria, 33 años, soltera, de personalidad dulce y cariñosa y por ende muy popular entre sus alumnos, por otro lado la historia tambien nos presenta a Yamato Kazuki, estudiante universitario, de 20 años, que aspira a ser un astronauta y poder casarse con Kyouko-sensei, ya que, está enamorado de ella desde que fue su maestra en 4to grado. Justo cuando reúne el dinero suficiente para un anillo de compromiso, Kazuki decide proponerle matrimonio, cometido que parece haber logrado aunque su relación siga pareciendo la de un alumno y su maestra. ¿Qué acontecimientos le esperan a esta peculiar pareja?",Seinen,MANGA,Sensei Lock-On ( 2012 - 2015 ),"Comedia, Recuentos de la vida, Romance, Vida Escolar",9.05,FINALIZADO,https://otakuteca.com/images/books/cover/5c8d8dc80945b.jpg,2.4K,3.5K,6.7K,643,317,207,fc1065b6-b9d9-4c92-b8a7-3a82ec7f34fa
13,Vida cotidiana de dos chicas en un mundo post-apocalíptico.,Seinen,MANGA,Shoujo Shuumatsu Ryokou ( 2014 - 2018 ),"Aventura, Recuentos de la vida, Apocalíptico",9.75,FINALIZADO,https://otakuteca.com/images/books/cover/61896a1a14a92.jpg,1.7K,3.5K,3K,1K,294,80,fd0e0e39-b4c4-41eb-a1c9-8c4debf40895
14,"En un futuro no muy lejano, en este mundo se reúne a todos los niños en una isla conocida como el “Círculo Juvenil”. Allí son educados hasta la edad de 18 años, cuando se gradúan y entran en la sociedad como adultos. El día antes de la graduación, unos extraños sentimientos de ansiedad invaden a un chico llamado Shizu. ¿A dónde se dirigen los niños al convertirse en adultos? ¿Quiere seguir siendo un niño? No era ninguna de estas. La ansiedad abrazó y aceptó a Shizu. La ansiedad lo conducirá hacia la verdad de este mundo.",Seinen,MANGA,Sayonara Peter Pan ( 2017 - 2018 ),"Acción, Gore, Ciencia Ficción, Psicológico",7.00,FINALIZADO,https://otakuteca.com/images/books/cover/39427_TMOManga5b0b82bbc4994.jpg,1.1K,2.6K,3.5K,550,320,196,ee518a3d-449a-496f-bbd8-0f2a8beb3efd
15,"Ashtarot fue reencarnado como el 72° Señor Demonio en un mundo caótico gobernado por 72 Señores Demonios. De repente, una misteriosa Diosa aparece frente a él indicándole su objetivo, lo que lleva a Ashtarot a convocar a una criada, a la que le da el nombre de Eva. Juntos reformarán este mundo.",Seinen,MANGA,Realist Maou Niyoru Seiiki Naki Isekai Kaikaku ( 2019 ),"Acción, Drama, Fantasia, Sobrenatural, Demonios, Magia, Reencarnación",7.78,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e088fd6ca400.jpg,3.2K,12.2K,46.7K,7.1K,2.7K,1.8K,c3274d47-8269-4f01-8081-abe2c168e6c7
16,"Durante un día de lluvia, una mujer se encuentra con un extraño animal que espera al lado de la carretera. La criatura le ofrece un paraguas para mostrar su atractivo. Intrigada por su naturaleza inteligente, la mujer lleva a la criatura parecida a un perro a su casa y así comienza su vida en común.",Seinen,MANGA,Ame To Kimi To ( 2020 ),"Comedia, Recuentos de la vida",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ec3e50ae6791.jpg,240,1.2K,2.9K,684,246,104,8a111d9f-fc80-4f0c-b797-5e371a88a5cf
17,"Excellent student Iwakura Mitsumi has always dreamt about leaving her small town, going to a prestigious university, and making positive change in the world. But she’s so focused on reaching her goals that she’s not prepared for the very different (and overwhelming) city life that awaits her in a Tokyo high school. Luckily, she makes fast friends with Shima Sousuke, a handsome classmate who’s as laid-back as she is over-prepared. Can this naive country girl make it big in Tokyo with Sousuke by her side?",Seinen,MANGA,Skip and Loafer ( 2018 ),"Comedia, Romance, Vida Escolar, Recuentos de la vida",9.40,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/634cbfee89ca1.jpg,546,4.2K,8.7K,2.6K,840,223,026655c7-95ce-4111-8d0b-4ea397b9b4dc
18,La novia de Reid lo ha convocado de regreso al mundo de los vivos.,Seinen,MANGA,Yandere Kanojo ni Nemura Sete Moraenai ( 2020 ),"Comedia, Reencarnación, Romance",7.50,FINALIZADO,https://otakuteca.com/images/books/cover/5f7e4f4882a2c.jpg,1.9K,2K,4.5K,1.1K,523,306,4dcfa019-1bf3-4149-a202-edf1924da280
19,"Naves espaciales alienígenas gigantes han aparecido en varios pueblos de Japón durante los últimos tres años, llenando los cielos. Todo cambió hace tres años. Y aún, nada ha cambiado. Ninguna de las armas usadas contra las naves invasoras ha tenido éxito, más allá de destruir gran parte de Japón y dejar su economía en ruinas. JSDF es una guerrilla que se dedica a pelear contra los aliens a lo largo de Japón. Pero esto es la historia de dos jovencitas de la escuela intermedia.",Seinen,MANGA,Dead Dead Demons Dededededestruction ( 2014 - 2022 ),"Comedia, Drama, Recuentos de la vida, Ciencia Ficción, Vida Escolar",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/11525_TMOmanga175759.jpg,607,4.7K,4.6K,871,386,134,4a118bcd-c484-4ded-850d-ec012c79e316
20,"Nuestra heroína era un simple señorita de oficina que vivía en el Japón moderno. Pero un día, después de que fue atropellada por un coche, abrió los ojos y se dió cuenta de que ella se había reencarnado en el mundo del juego Otome que estaba jugando, en el reino de Tansmeria. No sólo eso, sino que se había convertido en Iris - la rival en el juego de la heroína principal. Frente a una situación que no es otra cosa, que el '' mal final '', ¿cómo va a cambiar su destino? ¿Será capaz de llevar la carga que le fue confiada a ella por su padre, el Duque?",Josei,MANGA,koushaku reijou no tashinami ( 2016 ),"Drama, Reencarnación, Romance, Fantasia",8.83,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d1ad2d423a4e.jpg,1.9K,8.7K,27.3K,4.6K,1.6K,1.3K,9d3cf45d-8b7d-4776-a7c1-6f3cbdb13a8a
21,"Shiina Aki es constantemente tratado como una chica debido a su aspecto femenino por lo cual decide mudarse a Tokio para asistir a la escuela media en un intento de cambiarse a sí mismo. Sin embargo lo que le espera en su nuevo hogar, es una casera muy bondadosa, Sunohara Ayaka. Junto con tres mujeres miembros del consejo estudiantil de su nueva escuela media, Yukimoto Yuzu, Yamanashi Sumire y Kazami Yuri. Y así comienza la nueva vida de Aki en Tokio, viviendo con 4 chicas.",Seinen,MANGA,Sunoharasou no Kanrinin-san ( 2014 ),"Comedia, Ecchi, Harem, Romance, Drama, Recuentos de la vida",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/31237_TMOManga59cf537180866.jpg,695,4K,6.7K,1.8K,634,379,dcd9aa16-7295-4fd0-91de-a334f9c80f96
22,"Esta es la versión Pixiv del manga del mismo nombre. Sinopsis: Ikuta Masahito es un joven universitario que no ha salido con ninguna chica en toda su vida y por lo tanto está desesperado por conseguir una novia, un día mientras se lamentaba aparece frente a él una linda demonio a ofrecerle un ""contrato"".",Seinen,MANGA,Rokujo Hito x ma (PIXIV) ( 2018 ),"Demonios, Drama, Ecchi, Fantasia, Romance, Comedia",7.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bfc6c683e136.jpg,654,2K,6.3K,754,341,299,5fb0c5cd-9f02-4a1d-8a88-19bf83f46b08
23,"Madoka-chan es una chica casi silenciosa que le gusta pasar el rato en su ventana, donde un hombre asalariado suele pasar, lo que la lleva a realizar todo tipo de actividades.",Seinen,MANGA,Mado kara Madoka-chan ( 2017 - 2020 ),"Comedia, Recuentos de la vida, Romance",8.75,FINALIZADO,https://otakuteca.com/images/books/cover/5c8c9263f0f2c.jpg,1.3K,2.2K,4.7K,986,353,237,6490c26c-4e85-41fc-ae92-8fba06cdf3d0
24,"Sinopsis:Aoi y Haru están saliendo en secreto. Sin embargo, Aoi se percata de que Haru ha estado preocupada por algo, y al día siguiente, la observa caer desde el techo de la escuela. Es entonces cuando descubre que ella había puesto una gráfica de relaciones en su casillero y en ella había marcado a cinco como ""payasos"" que están intentando matarla.",Seinen,MANGA,Youth Correlation Chart ( 2017 ),"Crimen, Gore, Psicológico, Romance, Supervivencia",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5bfc870b4dcbc.jpg,635,1.6K,2.4K,374,223,150,b6d0efcc-32d1-4c45-8e78-2bd553c74f04
