,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Cuando Shin escucha a sus amigos hablar sobre una muñeca conocida como “La Muñeca Sangrienta”, no puede evitar sentir curiosidad. Enamorándose instantáneamente de la figura, decide comprarla, pero hay rumores sobre la muñeca y de cómo obtuvo su nombre. Se supone que puede moverse y hablar, uno de los propietarios incluso afirmó que bebió su sangre. Sin inmutarse, Shin compra la muñeca de todas formas, para descubrir que los rumores podrían no ser tan ridículos como suenan…",Shoujo,MANGA,Lovers Doll ( 2016 ),"Comedia, Drama, Sobrenatural, Romance, Boys Love",9.33,FINALIZADO,https://otakuteca.com/images/books/cover/13568_TMOmanga050108.jpg,13.6K,5.8K,3.9K,4.7K,1.2K,343,bb6e1936-ccd3-4378-b015-030de9cacc35
1,"Un excesivo sentido de justicia ""Aries"" como policía X ""Piscis"" como el yanki de corazón de cristal persiguiéndose entre ellos, como también se encuentra Tauro X Acuario, Géminis X Sagitario ,Cancer X Capricornio, Leo X Virgo y Escorpio X Libra. Toda una colección de amor ★ Con un bonus en la página del horóscopo!.",Shoujo,MANGA,12 Zodiac Boys ( 2016 ),"Comedia, Romance, Boys Love",8.50,FINALIZADO,https://otakuteca.com/images/books/cover/14336_TMOmanga000756.jpg,14.8K,7.9K,6.4K,3.4K,1.3K,509,9387fd51-8bd5-4f1e-95ab-6bc5c861b431
2,"Maya es un chico que vive en el año 16 de la era Meiji a la cual la vida no lo ha tratado muy bien debido a su peculiar color de ojos y cabello, un dia en su camino encuentra al joven y millonario Nagisa Seiji por el cual sentira que la felicidad por fin llega a su vida, pero en el camino habra muchas lagrimas de por medio.",Shoujo,MANGA,Namida Kareru Na ( 2017 ),"Boys Love, Tragedia, Historia, Romance",9.01,FINALIZADO,https://otakuteca.com/images/books/cover/23552_TMOManga58ac8b3f2a542.jpg,4.1K,5.8K,5.9K,1.9K,909,535,73b38fd5-4481-4caf-b46c-b737e1267f66
3,"""De ninguna manera me casaría contigo Ryuuji”, fueron las agrias palabras hacía Ryuuji, después de proponerle matrimonio a su novia. Con el corazón roto y molesto por la manera en la que su novia lo dejó, Ryuuji visita a su mejor amigo, Tomoya, para buscar un poco de consuelo. Sin embargo, Tomoya le hace una confesión indirecta diciendo: “Estoy feliz de que no te hayas casado con ella”, provocando nuevos sentimientos y deseos en Ryuuji, que él jamás pensó que tenía.",Shoujo,MANGA,Daijina Koto Nanode Nido ( 2014 ),"Drama, Romance, Boys Love",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/38912_TMOManga5aefa60b6c2b6.jpg,5.7K,3K,2.1K,1.4K,611,173,24c77c54-fa64-48f8-9a98-76fe34d5dd3c
4,"Renací como una princesa en el mundo de un juego otome, con recuerdos de mi vida pasada. ¿Espera? ¿Soy la rival de amores de la heroína? ¡De ninguna manera! No tengo ninguna intención de enamorarme de ninguno de estos perdedores, porque me he fijado en un personaje de apoyo: ¡el Comandante de los Caballeros Reales! ¡Excepto que la heroína, después de reencarnarse en este juego de mierda donde los personajes de apoyo son mucho mejores que los intereses amorosos, amenaza con destruir mi propia vida con banderas, y estoy decidida a derribarlas!",Shoujo,MANGA,Tensei Oujo wa Kyou mo Hata wo Tatakioru ( 2015 ),"Comedia, Drama, Fantasia, Reencarnación, Romance, Recuentos de la vida, Harem",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f8078de7c6c1.jpg,2.2K,8K,23.7K,5.3K,1.8K,1.4K,5b0ca0f6-f0f0-4b0f-849c-069e3561c2ee
5,"¡Su novio la dejo por una chica en un juego online! Durante este desamor conocerá a quien probablemente sea la persona que quiera capturar su corazón, pero ¿ qué pasa? este chico es como un jefe final, frío y con una tenacidad invencible, ¿podrá capturar el corazón de este jefe final?",Shoujo,MANGA,Yamada-kun to Lv999 no Koi wo Suru ( 2019 ),"Drama, Romance, Comedia",9.14,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/633e296518275.jpg,4.6K,23.7K,58.9K,17.8K,5K,2.5K,c8205b22-32e0-46f0-873f-6ac49ee26400
6,"""Para preferir a un anciano como yo, eres realmente extraño"" Un estudiante de honor incómodo y un escritor malhumorado de unos 30 años. Un romance con una brecha de edad pero con un amor al 200% puro y palpitante.",Shoujo,MANGA,Shoushin Otoko ni Haru no Arashi ( 2017 - 2019 ),"Boys Love, Romance",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/5fa239c160420.jpg,4.5K,2.5K,2.4K,1.5K,720,218,9fc545d0-a007-4f30-94f1-bdaa85b8e059
7,"Éste manga de comedia romántica se centra en Aizawa, una estudiante de preparatoria que no habla mucho en la escuela y que está enamorada de su compañero de clase, Azuma. Sin embargo un día, en la estación del tren ¡¿Aizawa le dice algo completamente inesperado a Azuma?!.",Shoujo,MANGA,Boku to Kimi no Taisetsu na Hanashi ( 2015 - 2019 ),"Comedia, Drama, Romance, Vida Escolar",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/5d1b4f1a6ea11.jpg,2.7K,7.2K,12.7K,1.5K,586,522,572ec8d7-b13a-4995-b166-fa4ba237fe19
8,"¡Aquí comienza la serie spin-off Konya, centrándose más en Gorou y Verde! Hay un montón de Endou y Rikiya también, pero esta historia va a contar la historia de estos personajes secundarios (o así es hasta este momento). La historia tiene lugar inmediatamente después del último capítulo de Konya, así que puedes pensar en esto como el capítulo 20, un poco menos enfocado en Endo/Rikiya y más en Gorou/Verde",Shoujo,MANGA,Kimi to kore kara ( 2014 - 2016 ),"Boys Love, Comedia, Demonios, Romance, Fantasia",9.21,FINALIZADO,https://otakuteca.com/images/books/cover/5b3d2d7f99922.jpg,6.8K,2.9K,2.7K,1.7K,452,138,97732133-a776-4668-b3b8-171f73176241
9,"Al mando del presidente del consejo estudiantil ( en el presidente de la clase, Beck y Call ) Al igual que los demás, Ichika se unió al consejo estudiantil porque admiraba al hermoso y carismático presidente Sasamori. ¡Pero el presidente es en realidad un masoquista hardcore! Y como la única persona que sabe, Ichika tuvo que ayudar al presidente a disfrutar de su extraña afición. Un día, Sasamori le pidió a Ichika que lo acompañara a un club S&M, pero ¿por qué se sintió tan irritada cuando los otros miembros del club jugaban con el cuerpo del presidente? El secretario y su mascota Después de que un número masivo de miembros del consejo renunciaron al mismo tiempo, los que se fueron al lado del presidente y el vicepresidente son solo Yashiro, el secretario y el primer año de Mochizuki. Al principio, Yashiro solo pensaba que Mochizuki era una mascota leal que con gusto seguiría sus instrucciones y sonreía si era elogiada, pero no se dio cuenta de que la mascota podría no ser un lindo hámster o conejo ... sino una serpiente lista para depredarlo. ! Ahora bien, señor, aquí está tu afrodisíaco Kojou es una maestra de escuela primaria que se estresó fácilmente. Afortunadamente, corrió a su underclassman desde el día de la universidad, Hiiragi, ¡quien también fue su primer amor! Hiiragi le dio a Kojou una droga que puede ayudar con su complicación. Se mejoró, pero no sin un efecto secundario: ¡un cuerpo sensible irresistible! Afortunadamente, Hiiragi decidió asumir la responsabilidad de la mejor manera que Kojou nunca imaginó.",Shoujo,MANGA,Kaichou-sama no Oose no Mama ni ( 2015 ),"Romance, Recuentos de la vida, Vida Escolar, Boys Love",9.13,FINALIZADO,https://otakuteca.com/images/books/cover/32257_TMOManga59ed44b374ad1.jpg,4.8K,2.8K,2.6K,1.1K,465,191,f9004635-50d8-4a02-b771-a63509fd2770
10,"Kitami Suguru es un delincuente de gafas, quien se involucra en una pelea y termina siendo salvado por Tamaki Kanae, entonces ella se da cuenta que en realidad es un chico guapo cuando no usa gafas. Además de eso Kitami comenzará a protegerla por haberlo salvado. ¡¡El lema de Kanae de pasar tranquilamente su vida en la escuela está en peligro!!",Shoujo,MANGA,Anadorenai ne Kitami-kun ( 2018 - 2020 ),"Comedia, Romance, Vida Escolar",6.00,FINALIZADO,https://otakuteca.com/images/books/cover/5d1b525df0c39.jpg,5.3K,2.6K,5.4K,1.5K,441,278,bd812fac-b8ea-4acd-b512-020b1054e777
11,"En un mundo donde los villanos quieren el control, la Historia de una General del mal y una Heroe de la justicia esta a punto de comenzar ...",Shoujo,MANGA,Hero-san To Moto Onna Kanbu-san ( 2018 ),"Girls Love, Comedia, Acción, Ciencia Ficción",7.00,FINALIZADO,https://otakuteca.com/images/books/cover/5dfd73f2d44ff.jpg,507,1.7K,3.6K,628,268,216,65ea4bca-eab4-477b-8b7a-b5f4a5e0cd1f
12,"""Me pregunto si el próximo año, seré capaz de volver a ver este paisaje"" La joven sirvienta, Tsumura Hana y el joven cabeza de familia del vizconde, Arima Mitsuyuki, tuvieron un nacimiento y estatus totalmente diferentes. En el año 43 de la era Meiji (1910) terminó la civilización y comenzó la modernización y occidentalización en la capital, Tokio. Habiendo perdido a su madre y teniendo que cuidar a su pequeño hermano, Tsumura Hana comienza a servir a la familia del vizconde Arima. Al encontrarse con la cabeza de la familia Arima, Arima Mitsuyuki, el destino de Hana cambiará drásticamente. En el inicio del cambio de era, la vida de Hana será puesta en juego. Un romance entre estatus diferentes que se convirtió en un amor único y verdadero al final de la era.",Shoujo,MANGA,Tokyo Lastochika ( 2010 ),"Drama, Historia, Romance, Recuentos de la vida, Tragedia",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/5c46a1b34cdf8.jpg,938,856,903,191,128,48,a01b47c7-ad48-4325-b9af-2462eaa4393f
13,Kousaka es un chico tranquilo y tímido que está lo suficientemente feliz como para pasar desapercibido para sus compañeros de clase. Pero un momento de amabilidad y preocupación por parte de una gyaru brillante y extrovertida comienza a cambiar su vida.,Seinen,MANGA,"I love you, Miki! ( 2020 - 2022 )","Comedia, Romance",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/624310bd159ee.jpg,1.8K,2.8K,6.1K,1.6K,676,327,ddacb990-7b24-40d7-8761-365c6e831c60
14,"Mashiro vive en una isla rodeada de mar. Un día, un deslumbrante muchacho llega de Tokyo y ¿el amor comienza...?",Shoujo,MANGA,Koi Furu Colorful ( 2015 - 2020 ),"Comedia, Recuentos de la vida, Romance",8.66,FINALIZADO,https://otakuteca.com/images/books/cover/6350b3f210d7b.jpg,1.8K,2.1K,2.7K,554,226,184,1a7d998c-4410-4033-9754-84f6b38415d0
