,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"El manga original gira en torno a una chica llamada Yokoi que se sienta con un chico en clase al que llaman ""Seki-kun"". Durante las clases, Seki-kun no presta atención alguna y se dedica a hacer cosas que no hacen más que distraer a Yokoi, como un campo de golf en su escritorio o una dramática guerra interpretada por fichas de shogi hechas con papel.",Seinen,MANGA,Tonari no Seki-kun ( 2010 - 2017 ),"Comedia, Recuentos de la vida, Vida Escolar",8.67,FINALIZADO,https://otakuteca.com/images/books/cover/5eff80ad3ecc1.jpg,1.9K,8.8K,10.8K,3.1K,903,459,9ed5e6aa-b22d-47e9-a7b4-88f572422352
1,"""Si te sonrojas, pierdes"" Nos narra la vida de Takagi-san quien constantemente se burlaba de su vecino de asiento Nishikata. Con su orgullo destrozado en pedazos, él se compromete a devolverle la broma y vengarse de ella. Y así, trata de burlarse de ella día tras día, sólo para encontrarse a sí mismo como víctima de la burla de Takagi-san. ¿Será capaz de vengarse de Takagi-san algún día?",Shounen,MANGA,Karakai Jouzu no Takagi-san ( 2012 ),"Comedia, Romance, Vida Escolar, Recuentos de la vida",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b36505db2687.jpg,1.8K,14K,31.8K,6.5K,1.2K,774,b402dacc-1180-4976-aa92-01d7e57b8f91
2,"La Academia Privada Seikyou fue construida sobre la cima de una colina hace 60 años. Desde entonces múltiples historias paranormales han envuelto el campus y a sus alumnos en un misterio perpetuo; la mayoría atribuidos a ""Yuko-san"", el famoso fantasma de una estudiante que encontró su muerte dentro de los terrenos de Seikyou décadas atrás. Nadie sabe quién era, ni por qué o cómo murió; En los alumnos, lo único que se mantuvo de Yuko-san a lo largo de las generaciones, fueron los dichos de que vaga por los terrenos de la vieja escuela como un fantasma vengativo. En medio de los actuales estudiantes de Seikyou, Teiichi Niiya, de primer año, un día mientras exploraba el viejo edificio de la academia se pierde y, vagando sin rumbo hasta el atardecer, llega al antiguo salón del club de investigación paranormal. Ahí conoce a una hermosa y coqueta Senpai, quien lo guía en su camino de vuelta al campus principal. Y es frente a la luz del ocaso que, presentandose a Teiichi como Yuko Kanoe, revela que es el rumorado fantasma del viejo edificio de la escuela, además de no tiener recuerdos de ella misma antes de su muerte (quién era, cómo y por qué murió). Con la determinación de ayudar a esta melancólica belleza, Teiichi acepta revivir el club de investigación paranormal con el fin devolverle sus recuerdos a Yuko.",Shounen,MANGA,Tasogare Otome X Amnesia ( 2008 ),"Comedia, Ecchi, Sobrenatural, Horror, Misterio, Romance, Vida Escolar",9.69,FINALIZADO,https://otakuteca.com/images/books/cover/5b7dd52c28782.jpg,4.5K,8.4K,6.4K,2.4K,763,265,1e44f12e-ac7f-4df3-b796-b1fc695bad55
3,"Año 305 del calendario Alcián, el mundo se encuentra controlado por los ""numeros"". Cada ser humano que nace es marcado con un ""Contador"". Este contador puede subir con cualquier acción; ya sea la cantidad de Kilómetros recorridos, o si alguna persona dice que su comida es sabrosa. Pero si su cuenta se reduce a 0, será enviado al abismo. Antes que la cuenta de la madre de Hina llegará a 0, su ultima voluntad fue que buscara al Legendario Rey Caido...",Shounen,MANGA,Plunderer ( 2014 ),"Acción, Ecchi, Comedia, Aventura, Romance, Apocalíptico, Superpoderes",7.69,FINALIZADO,https://otakuteca.com/images/books/cover/5ea4897424752.jpg,4.6K,16.4K,33.1K,6.4K,1.7K,1.4K,5f118983-0071-4aa6-ac15-1975e3dfe35a
4,"Para vivir de clase inferior a granjero de primera clase, nuestro protagonista Aru Wayn mejoró sus habilidades agrícolas y, a veces, sus otras habilidades también aumentaron de nivel al ayudar a sus amigos. Un día, cuando su último nivel de habilidad llegó a Máximo, su vida cambia.",Shounen,MANGA,Noumin Kanren no Skill bakka Agetetara Naze ka Tsuyoku Natta ( 2016 ),"Acción, Aventura, Fantasia, Harem, Romance, Comedia, Tragedia",5.67,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5de69044ec029.jpg,2K,6.8K,26.7K,3.7K,1.5K,1.2K,7d9b62d2-06cd-402c-a152-a2a486bdc13f
5,"Cuando se dio cuenta, Wallace, el bibliotecario jefe de la <Biblioteca del Fin>, no tiene memoria. Y lo que hay dentro de la biblioteca olvidada en el extremo más alejado del mundo son solo una mucama taciturna y <Los Monstruos Mágicos de los Libros> que simplemente no puede asimilar. Y luego, un día. Conoció a Lucía, una aprendiz de bruja del pueblo del principio, a través de un espejo. Para salvar al mundo del señor demonio que invade lentamente. Lucía viaja junto con el héroe que apareció en el pueblo del principio. Mientras Wallace apoya a Lucía desde la sombra, se da cuenta de que su memoria pasada es la clave para derrotar al señor demonio. Esta es una historia de ellos, una historia de fantasía solitaria y gentil.",Shounen,MANGA,Kagami No Mukou No Saihate Toshokan: Kou No Yuusha To Itsuwari No Maou ( 2019 ),"Acción, Aventura, Fantasia, Romance",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/5e349e054f4f2.jpg,3.6K,5.7K,13.7K,2K,925,659,7a5e6cd8-e8c8-4203-961b-ec20b73edc1b
6,"El príncipe de este pequeño y débil reino, sólo busca una cosa: ¡Vender su país y vivir una vida sin preocupaciones! Desafortunadamente, ¡Su obstáculo más grande es su propia inteligencia! Conforme va logrando más y más cosas, se gana cada vez más el respeto de su gente... ¡Lo que hace más difícil el alcanzar su sueño!",Shounen,MANGA,"Souda, Baikoku Shiyou: Tensai Ouji no Akaji Kokka Saisei Jutsu ( 2019 )","Comedia, Fantasia, Recuentos de la vida, Drama",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ff60b34dba86.jpg,1.9K,8.4K,23.8K,4.3K,1.9K,1.1K,35d48d0a-082e-4022-bb35-5ed6319b47f8
7,"Un día, en el calabozo, será atacado por hordas de monstruos por el fracaso de sus camaradas.Ain, que se quedó solo, cae al abismo. Por lo tanto, Ayn se encuentra con un árbol especial que crece en lo profundo underground・el espíritu del árbol del mundo y el sabio que lo protege. Con su ayuda, la capacidad de evaluación de Ain es superevolución. Si averiguas perfectamente los movimientos del enemigo, puedes descubrir la debilidad de la muerte inmediata del oponente, y copiarla con sólo mirar el ataque y la magia que utiliza el oponente. Usando el poder más fuerte, Ayn escapó al suelo y vivió una segunda vida.",Shounen,MANGA,EL TRABAJO DESFAVORABLE [EVALUADOR] ERA EN REALIDAD EL MÁS DIFÍCIL ( 2020 ),"Acción, Aventura, Reencarnación, Fantasia, Harem, Magia, Romance",5.83,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/641e5d9115004.jpg,1.9K,7.1K,22.5K,4.5K,2K,1.2K,59c829fa-cb1d-49cc-a658-b3f6766b49e2
8,"La Liga Indigo: el desafío definitivo para los entrenadores Pokémon. Estructurado como un torneo masivo, cualquiera que esté ansioso por mostrar sus Pokémon puede participar, desde novatos hasta líderes de gimnasios e incluso los mismos Elite Four. Esta es la historia de Rojo, Azul y Verde, tres amigos que deciden participar en el torneo. <Doujinshi hecho por @seijyun09>",Shounen,MANGA,Pokemon - Festival of Champions ( 2016 ),"Acción, Aventura, Fantasia",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/621117121ec8d.jpg,250,735,2.4K,241,35,48,c6c999f4-db92-4bce-9467-2c0bb7edc035
9,Spinoff de Youjo Senki,Shounen,MANGA,Youjo Senki Restaurant ( 2017 - 2018 ),"Comedia, Militar, Reencarnación, Género Bender",8.90,FINALIZADO,https://otakuteca.com/images/books/cover/34305_TMOManga5a4eb20d98f32.jpg,696,714,1.4K,294,98,52,246258b3-04be-4f96-8590-9af6ec4f97cc
10,"Hinata Tachibana, un asediado oficinista de 32 años, y su guapo mejor amigo Tsukasa Jinguuji fueron invocados a otro mundo por una diosa desnuda. Sin embargo, por una travesura de la diosa, ¿¡Tachibana fue convertido en una hermosa chica sin igual!? ¡¡Para recuperar su cuerpo, tendrá que ir en una aventura con su mejor amigo para derrotar al rey demonio!! ¡’Un viejo hombre que se volvió una hermosa chica’ y ‘Un hermoso hombre mayor’! ¡¡Que comience esta comedia romántica demente sobre un viaje en otro mundo!!",Shounen,MANGA,Fantasy Bishoujo Juniku Ojisan to ( 2019 ),"Aventura, Comedia, Fantasia, Romance, Género Bender",9.14,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/6006713383dc8.jpg,701,3.8K,8.4K,2.1K,800,509,894ebf9d-bd1d-4d01-8ddf-61c1e97aaf55
11,"La estudiante de tercer año de secundaria, Anna, ha comenzado a vivir con la estudiante universitaria de cuarto año, Ema, cuya indiscreción hace vacilar a Anna. Conducida por las intenciones romáticas de Ema, la una vez perfectamente ordinaria Anna, es atraída hacia el mundo adulto. Y entonces, se le presenta la escena de un beso entre dos chicas...",Shounen,MANGA,15-sai ( 2012 ),"Drama, Recuentos de la vida, Ecchi, Romance, Girls Love, Vida Escolar",5.00,FINALIZADO,https://otakuteca.com/images/books/cover/13058_TMOmanga161150.jpg,2.5K,2K,3.6K,539,268,256,3bef0804-adfc-40c2-ac6d-698a81d4d8c6
12,"La historia está protagonizada por dos chicos que nunca se habrían conocido en circunstancias normales: Tsukamoto Tsukushi , que no tiene habilidad especial ninguna pero que pone toda su pasión en aquello que hace, y Kazama Jin, un solitario genio del fútbol. Una noche de tormenta ambos se encuentran, y esto acabará sacudiendo por completo el mundo del fútbol de instituto.",Shounen,MANGA,Days ( 2013 ),"Comedia, Drama, Recuentos de la vida, Deporte, Vida Escolar",9.16,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e39b0fbaf9b4.jpg,330,2K,4.7K,600,201,134,2696eaa1-8b64-4b54-9527-028dc9f0b8bc
