,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Como el gran maestro que fundó la Secta Demoníaca, Wei WuXian deambuló por el mundo siendo odiado por millones por el caos que creó. Al final, fue atropellado por su shidi más querido y asesinado por poderosos clanes que se combinaron para dominarlo. Se encarna en el cuerpo de un lunático que fue abandonado por su clan y más tarde, sin querer, se lo lleva un famoso cultivador entre los clanes: Lan WangJi, su archienemigo. Esto marca el comienzo de un viaje emocionante pero hilarante de atacar monstruos, resolver misterios y criar niños. Desde el coqueteo mutuo a lo largo del camino, Wei WuXian lentamente se da cuenta de que Lan WangJi, un cara de póker aparentemente arrogante e indiferente, tiene más sentimientos por Wei WuXian de los que deja ver.",Josei,MANHUA,El Gran Maestro del Cultivo Demoniaco ( 2017 - 2022 ),"Boys Love, Sobrenatural, Aventura, Artes Marciales, Horror, Historia, Comedia, Romance, Misterio",9.91,FINALIZADO,https://otakuteca.com/images/books/cover/62c6566f18d1b.jpg,5.9K,20.2K,30.8K,18.7K,4.2K,1.7K,2d19b14d-848a-4992-8d07-e78e4a6676c6
1,"¿Qué tan pervertido es el gusto de Xi Ye Han? ¿Todavía me quiere así? Al despertarse, miró su reflejo en el espejo: peluca explosiva, tatuajes y maquillaje de demonio. Los ojos de cualquier persona normal se quemarían si la miraran por más de un segundo. Antes de renacer, ella estaba enamorada de otra persona y estaba empeñada en escapar. ¿Qué ocurrirá en esta segunda vida? ¿Podrá cambiar los sucesos pasados?",Josei,MANHUA,Perfecto amor secreto: La nueva esposa malvada es una pequeña dulzura,"Comedia, Reencarnación, Romance, Género Bender, Acción, Niños",7.93,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e66e42eb17aa.jpg,2.9K,7.6K,16.8K,9.1K,2.3K,1.5K,4ead6d4a-2473-4512-b6c1-4871eb8746d5
2,"¡????????????????????????????????, ???????????????????????????? ???????????? ????????????????????????????????! Autor: Yí shui >descripción Yin Chai, un trabajador común, ""murió"" en un accidente. ¡Para devolver su alma a su cuerpo, tiene que aceptar las pruebas de Yama y convertirse en un Oficial del Infierno calificado! Después de una serie de misiones, se da cuenta de que Su muerte no fue un accidente ..",Josei,MANHUA,"¡Adelante, oficial del infierno! ( 2020 )","Aventura, Boys Love, Comedia, Sobrenatural",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ef027185dae7.jpg,515,3.4K,3.6K,1.2K,663,347,5dc67548-f8a4-4424-96e5-a58dd95555c0
3,"Como presidente de un conglomerado, no solo sufrió una pérdida de memoria debido a una estúpida chica del valle, sino que también se casó con ella de manera engañosa ... De acuerdo, ya que usted dijo que soy su marido, ¡yo seré su marido!",Josei,MANHUA,Ready to Dote on You,"Drama, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5c9e5cea629a7.jpg,348,1.3K,2.2K,716,246,186,7b44fc04-fe1b-49b0-a770-041017a7084b
4,"Las chispas vuelan cuando el atleta optimista y justo Yunjuan Luo se encuentra con el arrogante y consentida estrella, Aoyue. Una estrella infantil popular. La popularidad de Aoyue se ve amenazada cuando sus espectadores comienzan a aburrirse de él. Para salvar a su máquina de dinero, su agencia de talentos decide hacer que Aoyue forme una banda de chicos cuyo propósito es aumentar su popularidad. Desesperado por ganar dinero para la cirugía de su hermana, Yunjuan firma un contrato con la misma agencia de talentos y termina como miembro de la banda de chicos de Aoyue. ¡Mira lo que sucede cuando dos chicos guapos chocan!",Josei,MANHUA,Nanshen Shi Yidui ( 2016 ),"Boys Love, Vida Escolar, Comedia, Drama",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/34309_TMOManga5a4f0c9d77b98.jpg,1.2K,6.8K,7K,2K,1.2K,774,9ea29eb2-8ea6-4ba8-b07e-473173970ef0
5,"Ella cayó en la desagradable trampa de su hermana y fue humillada. Después de muchos giros y vueltas, los malentendidos pasaron, uno por uno... Cuando se reveló toda la verdad, cuando se trazó la trama, ¿Cuál será su destino?",Josei,MANHUA,Haomen qifu de chuntian ( 2018 ),"Drama, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b3906078fb77.jpg,529,1.4K,3.2K,757,277,350,cbc5e7c1-ef11-419b-b2fa-9ae7cc70bdfe
6,"El novio de Zhou Xionan que siempre había estado enamorado de ella de repente se va a casar pero, ¡la novia no es ella! En medio de la ceremonia de bodas, el hermano de la novia se fija en ella, y...",Josei,MANHUA,Badao zongcai quan ai ji ( 2017 ),"Drama, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5c77f8eccfcd4.jpg,1.1K,2.3K,5.7K,1.4K,515,679,5c54857d-c976-494e-8dc4-caba24d80fc9
7,"Una hija adoptiva no deseada, una bebida manipulada, una habitación equivocada con un presidente mandón en ... suena como un cliché cómico de CEO de nuevo, ¿verdad? Bueno ... esta vez, lo que marca la diferencia es el cortejo ADORABLE del presidente con ella. Demos la bienvenida a nuestro torpe pero sincero presidente, que está haciendo su primer intento de cortejar, ¡Woo-hoo!",Josei,MANHUA,"Fall for you, Dote on you ( 2020 )","Comedia, Drama, Romance",8.33,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ec3ebedbd77e.jpg,1.7K,2.7K,6.1K,2.8K,788,462,05e9ce2d-0dd5-4ffe-829a-00c823fa7797
8,¿Cuál es el estado de la señorita Ning Xi? ¿Volvio a la casa y fue humillada? ¿Su primer novio la engaño con su hermana? ¿Además del aborto involuntario también está siendo mantenida en el extranjero por su familia? ¿No debería ser tan malo? ¡No tengas miedo de esperar hasta que regrese de esa misteriosa organización y su plan de venganza empiece! ¿El pedido de un padre soltero fue vivir juntos? ¿Qué le tendrá preparado el destino?,Josei,MANHUA,"Full Marks Hidden Marriage: Pick Up a Son, Get a Free Husband ( 2018 )","Drama, Recuentos de la vida, Romance, Comedia",9.67,FINALIZADO,https://otakuteca.com/images/books/cover/39430_TMOManga5b0b97f65e855.jpg,3K,4K,10.7K,2.9K,943,970,2771c1ab-01a5-44ea-a7dd-c20d641aba19
9,Una chica de orfanato con una vida muy difícil ¿Por qué es ella favorecida por el Presidente? ¿Cuál es el oscuro pasado del frío y distante Presidente?,Josei,MANHUA,President's contract lover ( 2017 ),"Drama, Romance",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/5b53c3dd2b381.jpg,3.8K,3.5K,8.7K,2.4K,930,887,4ae98a6e-67ea-4eed-8a83-91eaaf14ca2b
