,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Debido a un engaño, un joven llamado Hao Qi cruzó a un mundo de juegos llamado la ""Tierra de los Héroes"". Aunque cruzó, el ""truco"" aún permanecía. Por lo tanto, comenzó un viaje triunfante y glorioso en este mundo mágico de cultivo de artes marciales para luchar contra monstruos y aumentar su nivel. Trayendo consigo el sueño de su hermano y su inigualable grupo de artes marciales, se embarcó en un viaje por el mundo ...",Seinen,MANHUA,The Strongest Cheat Player ( 2019 ),"Acción, Aventura, Fantasia, Artes Marciales, Reencarnación, Superpoderes",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5dfab8d14b8c2.jpg,625,2.8K,5.9K,1.2K,634,479,0be06a4e-1e13-49ad-8ad5-3dd6359f18cd
1,"Fuerzas especiales retiradas extraordinariamente encantadoras y capaces que son perseguidas por enemigos de todo el mundo y atacadas por poderes malvados. Además de esto, también está cargado con la misión de proteger a su ser querido. ¿Qué tipo de experiencia será esta?",Seinen,MANHUA,The Super Captain in the City ( 2018 ),"Acción, Aventura, Comedia, Ecchi, Artes Marciales, Romance, Harem",6.83,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d67fe85bfd7b.jpg,1.3K,4.5K,12.8K,2.7K,1.3K,923,c6f22d92-d050-423f-a985-7c34e0ff2e61
2,"El viaje hacia la cima marcial es solitario y largo. Ante la adversidad, debes sobrevivir y permanecer inflexible. Solo entonces podrás avanzar y continuar tu viaje para convertirte en el más fuerte. El ""Pabellón Cielo Alto"" pone a prueba a sus discípulos de las formas más duras para prepararlos para este viaje. Un día, el humilde barrendero Yang Kai logró obtener un libro negro, lo que lo puso en el camino hacia la cima del mundo marcial.",Seinen,MANHUA,Martial Peak ( 2018 ),"Acción, Aventura, Artes Marciales, Romance, Comedia, Sobrenatural, Harem",8.55,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5eaf975a5fc80.jpg,3.8K,11.2K,39K,9.4K,3K,2.3K,62c17b11-477a-46e7-87d0-8aeaededd018
3,"Xiao Luo, un joven social, luego de romper con su novia, accidentalmente obtiene un sistema poderoso. Necesitas décadas de arduo trabajo para adquirir habilidades y conocimientos, solo necesito canjear puntos para obtenerlos. Sigue a Xiao Luo con su sistema de genio sin igual",Seinen,MANHUA,Sistema de Genio Sin Igual ( 2019 ),"Acción, Comedia, Artes Marciales, Sobrenatural, Aventura, Drama, Romance",3.50,PAUSADO,https://otakuteca.com/images/books/cover/5e9cb9c7b141a.jpg,1.6K,3.3K,10.8K,2.2K,1K,652,afceff3b-2293-4848-8fa0-9773dff7532d
4,"Un joven estaba siendo perseguido por varias personas debido al tesoro único que poseía. Habiendo sido acorralado, decidió saltar desde un acantilado para no dejar que ninguno de ellos lo obtuviera. En el momento en el que cayó, despertó en el cuerpo de un chico con el mismo nombre en otro mundo. Afortunadamente, el tesoro con el que saltó se mantuvo con él.",Seinen,MANHUA,Against the Gods ( 2018 ),"Acción, Aventura, Ecchi, Fantasia, Harem, Artes Marciales, Romance",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ba6e03258026.jpg,2.3K,6.4K,23.8K,4.4K,1.9K,1.4K,5cda0af6-05cc-4298-ab45-950581b51aa9
5,"En este mundo, el respeto se gana con las artes marciales. La fuerza de los artistas marciales débiles es igual a decenas de miles de libras, capaces de romper rocas. Y los fuertes pueden cortar ríos y dividir montañas. Incluso hay reyes marciales que saben todo y pueden viajar por el universo. El arte marcial decide tu destino, así como tu vida y tu muerte. El débil es humillado mientras que el fuerte mira hacia abajo al mundo. Este es un mundo donde los fuertes intimidan a los débiles. Los status de las personas se deciden por los niveles de su cultivo de artes marciales. Cada facción lucha por el título de ""El más poderoso"". Solo los fuertes tienen derecho a sobrevivir. Incluso si eres del mismo clan o facción, si eres débil, entonces serás intimidado y expulsado sin piedad.",Seinen,MANHUA,Dios de las artes marciales ( 2017 ),"Acción, Aventura, Artes Marciales, Reencarnación, Sobrenatural, Harem, Tragedia",8.56,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e8e71b275852.jpg,2.7K,8.1K,30.4K,5.9K,2.2K,1.5K,41b2a4b2-d9a6-421f-a4e8-f49c57f5b6df
6,"Debido a la recesión, el recién graduado Jonathan está actualmente desempleado y su hermano periodista, Baron, le pidió que tomara su lugar en una entrevista ... Pero Jonathan se sorprendió al saber que la persona a la que va a entrevistar no es otro que el infame asesino en serie ""Kister the slaughter"" y eso también en la prisión ... Poco sabía Jonathan que muy pronto su vida entera estaba a punto de dar un vuelco.",Josei,MANHUA,Criminal Interview ( 2018 - 2019 ),"Boys Love, Crimen, Psicológico, Misterio",7.00,FINALIZADO,https://otakuteca.com/images/books/cover/5e51fbac34881.jpg,1.2K,3.8K,4.3K,1.8K,885,435,f2f24af3-9046-476d-9a72-c5d777776cf8
7,Una bella y exitosa señorita intenta recuperar su vida después de ser atrapada en un retorcido juego de venganza por un hombre malvado y cruel.,Seinen,MANHUA,¿Quién es la presa? ( 2020 ),"Drama, Romance, Acción, Recuentos de la vida",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f10ac1b580fd.jpg,1.3K,6.3K,9K,4.4K,1.8K,1.1K,f75d647d-ce83-4f4c-8763-3cf09bc1d88e
8,"La historia de unas tierras baldías post-apocalípticas llenas de depravación. Sigue el viaje de un contrabandista, un hombre despiadado y sanguinario, quien es considerado un monstruo debido a su sangre demoníaca, mientras se aventura y contrabandea productos para sobrevivir en un mundo donde solo el más apto sobrevive.",Seinen,MANHUA,A Post-Apocalyptic Journey ( 2019 ),"Acción, Aventura, Apocalíptico, Ciencia Ficción, Supervivencia, Tragedia, Horror",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ca008a208b1e.jpg,436,2.5K,5.3K,903,492,440,789224c5-8afb-4f79-a0d3-fa08f2782b5e
9,"Mo Qi nació incapaz de cultivar, por lo que el siguió el camino de la cocina. El poseía un ""libro misterioso"" en su mente, que había utilizado por error para cocinar, sin embargo, este no era un libro de cocina ordinario, era el sutra del caos. ¡Las cosas comienzan a cambiar cuando Mo Qi es abandonado y humillado por la chica que juró una vez, estar con él para siempre. Para vengarse él se elevará a la cima con ayuda del sutra del caos., para demostrarles a todos que no es un desperdicio y además, cumplir el sueño de su tío, obtener el título del mejor chef del mundo.",Seinen,MANHUA,I Have a Chaos Sutra,"Acción, Drama, Artes Marciales, Romance",7.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ef6613f99e13.jpg,670,1.9K,5K,1.1K,656,338,2bf87128-c537-4768-92f2-a085ca4a9d80
