,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Lin es sólo un estudiante de secundaria ordinaria. Pero el día en que se transfiere a una nueva escuela, ella consigue un videojuego, el cual la envía al mundo del Rey Arturo. Allí, se encuentra con un mago misterioso, que le dice que su misión es encontrar y reclutar a los Caballeros de la Mesa Redonda y ayudar a Arturo en rey .",Shoujo,MANHUA,Qishi Huanxiang Ye ( 2016 ),"Aventura, Comedia, Fantasia, Sobrenatural, Romance, Vida Escolar",9.02,FINALIZADO,https://otakuteca.com/images/books/cover/14080_TMOmanga022756.jpg,3.5K,6.8K,10.1K,3.2K,1K,899,bd6a74d0-4cb7-4e6b-b9d7-7f544b1e53a2
1,"Zhou Shen Ying, un cazador de celebridades empeñó las ""doce horquillas doradas"" de su difunto abuelo para saldar su deuda. Sin embargo, una semana más tarde, una llamada inesperada lo obliga a recuperar las horquillas vendidas. Para recuperar los alfileres de sus nuevos doce propietarios, ¿debería Ah Ying sacrificar ""su cuerpo""?",Shoujo,MANHUA,En busca de las doce horquillas doradas ( 2018 - 2020 ),"Boys Love, Comedia, Vida Escolar, Romance",7.00,FINALIZADO,https://otakuteca.com/images/books/cover/5b8afac9173d4.jpg,1.9K,11.3K,9.4K,3.7K,1.8K,1.1K,655acf49-157d-4f7c-86db-16c9665c82f2
2,"Zhao Yan, Ji Yan y Yue Jian son hermanas nacidas al ser clonadas genéticamente por un gen. La razón por la que nacen es que tienen la capacidad de detener el mundo de los vampiros. A pesar de que pueden detener la muerte del mundo, solo dos de ellos pueden hacerlo mientras que la otra se queda al margen. o no ?",Shoujo,MANHUA,Esfera de Vampiros ( 2016 ),"Sobrenatural, Romance, Vida Escolar, Vampiros, Drama, Familia, Misterio",8.00,PAUSADO,https://otakuteca.com/images/books/cover/14337_TMOmanga002345.jpg,323,1.7K,2.3K,571,206,202,7ae34247-2ebd-4756-9626-861bd46263bf
3,"¡¿La primera vez reencarnado me convertí en un panda gordito?! Eh! Ese señor serio de delante, prepárate y cuidado con mi lindura!",Shoujo,MANHUA,Llego la adorable Princesa: ¡El panda celestial pide un abrazo! ( 2020 ),"Comedia, Drama, Fantasia, Magia, Reencarnación, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f00dcef24741.jpg,518,1.9K,3K,1.5K,530,269,757ba942-5f4a-4b94-a844-e25d799aa932
4,"Mo Wan Zu se escapó de su casa, trajo un libro de registro para prepararse para el matrimonio con su prometido, pero la alegría no es larga, antes de que sus ojos sean una escena puede hacer que alguien se rompa el corazón. No hay nada más desgarrador que ver a la persona que más amas y las personas en quienes más confías, te traicionen juntos.",Shoujo,MANHUA,Sweetie Of President ( 2019 ),"Drama, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5c61ec0805831.jpg,780,2K,5K,1.4K,417,410,06fde783-efd4-4420-ab10-3f2d144529db
5,"Al principio, era una genia de las artes marciales y solo quería convertirme en una heroína, pero debido al hambre, terminé muriendo. Cuando abrí los ojos de nuevo, me había reencarnado como una dama débil y, lo que es peor, no solo se rumorea que tiene que casarse con el joven maestro de Fu, sino también es una molesta fanática del hombre más guapo de la ciudad. Ella es conocida como una chica arrogante y mandona, odiada por todos. ¡Cómo se supone que me vaya a convertir en una heroína así! Afortunadamente, hay un maestro de artes marciales alrededor, ¡así que debo ponerme de su parte! ¿Eh? Este tipo parece que me odia...",Shoujo,MANHUA,¡Quiero convertirme en una heroica espadachina! ( 2019 ),"Comedia, Drama, Historia, Artes Marciales, Reencarnación, Romance",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e5127b6d742d.jpg,268,1.2K,1.9K,614,260,145,c0c52a6c-39e3-4ecf-9074-5219b1b0b0db
6,"Un Amor inquebrantable. Re encontrándose 10 años después, uno pasó de ser un soldado anónimo a General del ejército; el otro, un príncipe heredero, fue degradado hasta convertirse en esclavo. El idilio de amor entre ambos logró los cambió para siempre. Un amor tan intenso y un odio tan profundo que cala hasta los huesos.",Shoujo,MANHUA,Pecado de un corazón culpable ( 2020 ),"Boys Love, Crimen, Historia, Romance, Supervivencia",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e9c6eb81eec3.jpg,333,2.4K,2.5K,930,495,231,523667ab-3263-4b5e-9783-c5bfa3e11443
7,"Esta historia trata de la infancia de un par de huérfanos, una historia que va a conmover tu corazón, “yo siempre te protegeré, porque en este mundo no hay nadie más que nosotros”",Shoujo,MANHUA,Te esperé en 1999 ( 2016 - 2017 ),"Recuentos de la vida, Drama, Vida Escolar",9.18,FINALIZADO,https://otakuteca.com/images/books/cover/5b39ee0fba8f6.jpg,9K,10.3K,7.6K,4.8K,1.7K,464,a00cffbc-9e18-4e1e-a366-3bf3606522f3
8,"Entre los cisnes del lago swan de Inglaterra, soy diferente. Soy un cisne negro, y el último capaz de transformarse en forma humana. Una vez, cuando asomé la cabeza fuera del lago, tiré un anillo delante de mí. ¡A causa de este anillo, conocí a ella-hombre! Una vez que descubrí su verdadera identidad, me convertí en su discípulo, y de alguna manera también en su novia numero 100",Shoujo,MANHUA,volando sobre mil montañas para amarte ( 2018 ),"Drama, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bde3b2c37d81.jpg,600,2.4K,4.3K,1.3K,441,404,7b8fd1f2-6bc6-4ffa-99a4-89812efa1185
9,Información no completada,Shoujo,MANHUA,Anna y Josei,"Drama, Girls Love, Recuentos de la vida",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ee80a02bec34.jpg,505,533,934,278,112,61,ce02691b-fa8c-4861-8876-183b23a67f4d
