,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Un estudiante de primer año, Zhou Xiaoan, que accidentalmente se puso un anillo de mercaderes de origen desconocido, escupió un horrible demonio de su boca, y su destino cambió. Un secreto en la historia de la humanidad se revelo lentamente frente a sus ojos...",Shounen,MANHUA,The Demonic Ring,"Horror, Psicológico, Acción, Comedia, Fantasia, Misterio, Sobrenatural",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5bdd66a78aff4.jpg,949,6.6K,9.4K,2.2K,1.3K,1K,72d5fb91-a7d0-4a48-b6de-713f27f92de5
1,"Zhong Ma es un estudiante universitario ordinario que se está graduando pero no puede encontrar trabajo. Supo inesperadamente que su novia lo engañó. Cayó completamente en el fondo de su vida, y quería beber y beber? !! Pensé que mi triste vida terminaría así, pero fue bendecida por las desgracias, ¡Zhong Ma ganó una capacidad ilimitada para actualizar el sistema y comenzó su vida abierta! Perspectiva, teletransportación, súper lucha ... ¡todo a tu alcance! Desde entonces, las mujeres hermosas se reunieron, ¡ya no tienen que perseguir a la diosa para que la engañen, joven, contraataque!",Shounen,MANHUA,System Xianzun In The City ( 2020 ),"Acción, Harem, Artes Marciales, Romance, Superpoderes",7.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e265b721252a.jpg,1.4K,4K,13.9K,2.4K,1.1K,1K,2427f576-924f-4910-869b-14ad6096172c
2,"Basado en una novela ligera. Wang Lin es un niño muy inteligente con padres amorosos. A pesar de que él y sus padres son rechazados por el resto de sus familiares, sus padres siempre han tenido la esperanza de que se convertirá en un gran ser. Un día, Wang Lin se ganó la oportunidad de caminar por la senda de un inmortal, pero desafortunadamente descubrió que es solo un mediocre. ¡Siendo así decide irse de su hogar para recorrer su propio camino para convertirse en un Inmortal!",Shounen,MANHUA,Xian Ni ( 2009 ),"Acción, Fantasia, Artes Marciales, Aventura, Tragedia",9.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/60ed079bcee79.jpg,1.1K,5.3K,14.6K,1.5K,840,938,c01dc3e7-2a64-4097-90ee-db7e9ab047e4
3,"Me retirarán a partir de hoy. Pero, ¿Qué debo hacer? No tengo ninguna habilidad, y no tengo el cerebro para hacer negocios. Mi única fuerza es ser invencible. Que problema...",Shounen,MANHUA,Martial King's Retired Life ( 2018 ),"Acción, Aventura, Comedia, Artes Marciales, Harem, Romance",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5c2f9aa1a96a2.jpg,712,3.7K,7.3K,1.5K,831,520,acd3494b-2376-4cb4-ab7f-fc6f2244740d
4,Cuenta la historia de lo que sucede después de San Tang y Yu Hao. Contiene spoilers de los anteriores mangas.,Shounen,MANHUA,Combat Continent 2-5 - Legend of The Gods’ Realm ( 2016 ),"Acción, Fantasia, Artes Marciales",9.20,FINALIZADO,https://otakuteca.com/images/books/cover/14598_TMOmanga132759.jpg,688,3.1K,5.7K,558,317,219,440b1b14-344e-4aeb-bafc-3fbd43b6f3bb
5,Una estudiante fría y problemática. Una estudiante extranjera cálida y llena de energía. ¿Qué pasa cuando el frío invierno se encuentra con el cálido verano? ¡Una relación inesperada entre dos estudiantes de secundaria está a punto de ocurrir!,Shounen,MANHUA,Winter to Summer ( 2015 ),"Comedia, Vida Escolar, Girls Love",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/38662_TMOManga5ae1cd47e8c56.jpg,2.8K,1.2K,2.1K,944,200,82,63b08dc7-ded2-4a9f-965a-3db981e4e268
6,"¡este es el Continente Celestial donde los artistas marciales son respetados! ¡Los fuertes pueden viajar alrededor del mundo, poder para sacudir montañas y ríos, volcar el cielo y traer el caos con un giro de la mano! Lin Chen, un joven practicante de artes marciales en China, apareció inesperadamente en otro cuerpo con una vida distinta y con el su mejor herramienta de cultivo, al ver las memorias del antiguo lin chen supo que se convirtió en un discípulo externo de la Secta Celestial en el distrito de Yu Nan. ¡El mar es ancho y los pájaros vuelan! ¡Veamos cómo Lin Chen avanza paso a paso hacia la cima en este mundo extranjero, alcanza los 9 cielos, resuelve miles de desastres y finalmente se convierte en un dios espada sin igual!",Shounen,MANHUA,The Peerless Sword God ( 2020 ),"Acción, Aventura, Fantasia, Artes Marciales, Reencarnación",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5eb5ea79b314f.jpg,750,2.5K,4.9K,1.2K,809,396,909da369-6f68-48eb-ae5f-52a52b283fc2
7,"Chang An, la capital de Tang. El General Xuan fue acusado de traición por ofender al Gran general Xiang Hou,lo cual generó la ejecución de todos los miembros de su familia. En medio del incidente, un joven chico llamado Ning Que se las arregló para escapar, al excavar entre una pila de cadáveres, junto con una niña llamada Sang Sang. Los años pasaron, y desde de ese día ambos vivieron juntos. Junto con Sang Sang, ambos entraron a la armada, con logros militares verosímiles, fueron recomendados en la Escuela Erudita, en la cual comenzaron su milagroso viaje. ¿Es Ning Que el hijo de un Demonio, o la encarnación de un Santo?",Shounen,MANHUA,Jiang Ye ( 2014 ),"Acción, Aventura, Comedia, Fantasia",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/9479_TMOmanga085558.jpg,744,2.8K,7.2K,470,268,315,5864ace1-b656-4fea-81d0-afd7b3e95f70
8,"Su Xiaobai que estaba al borde de la muerte por una enfermedad terminal fue llevado a un nuevo mundo. El alma del más fuerte evolucionador Long Ming ,""Rey de las Estrellas"", ahora habita en su cuerpo. Por lo tanto, ha adquirido una habilidad extremadamente poderosa: ""La oscuridad infinita"". El único inconveniente es que si Xiaobai alguna vez tiene una erección, experimentará un dolor severo. Sin embargo, cuando encuentre al asesino de Long Ming y ascienda al trono del Palacio de Protoss, esta debilidad desaparecerá...",Shounen,MANHUA,Dark Star Emperor ( 2020 ),"Acción, Fantasia, Harem, Reencarnación, Romance, Ecchi",7.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f0fd2aa48f63.jpg,1.1K,3.6K,7.7K,2.3K,1.2K,588,2144aa9a-e386-44b7-ae20-84ae971d3d50
9,"Llevaba ocho años desaparecido.¡Pero nadie pensó que había viajado a otro mundo y practicado durante ocho mil años!. Después de regresar a la tierra, buscó a su hermana, pero nadie pensó que el proceso de búsqueda de su hermana,¡hizo todas las fuerzas poderosas en la tierra al mismo tiempo!. Secuestró al hombre rico. Pero nadie pensó que, mientras estaba secuestrado miles de dólares, también mató a su prometido. Puede hacer alquimia, luchará, si alguien lo provoca...¡se perderá para siempre!",Shounen,MANHUA,RETURN TO THE EARTH TO BE A ( 2020 ),"Acción, Harem, Reencarnación, Romance, Fantasia, Artes Marciales",6.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f1babebbbd86.jpg,777,2K,5.1K,1.3K,734,370,b0dfa839-9a16-457d-8fbd-8a8e2938312c
10,"el hijo del maestro del campus está matriculado en la escuela secundaria, y no solo se ha olvidado de todas las mujeres hermosas que lo rodean también de las flores mas hermosas y arrogantes de la escuela y la líder de la clase pura y encantadora y de la chica más sexy, cosas así solo traen problemas y se volvería un completo dolor de cabeza.",Shounen,MANHUA,Mal sin igual ( 2020 ),"Acción, Harem, Artes Marciales",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5f03bbda51a3d.jpg,698,1.9K,4.8K,1.2K,683,354,23b2187b-56c2-4cf1-9cea-8eff0558062f
11,"El tiempo se ha invertido, Qiu Yi se convirtió en una chica, pero aún existe una versión masculina de él en este tiempo... 【Todavía soy yo?, Exactamente quién soy?】 ¿Qué tipo de chispa se encenderá cuando él, que ahora es chica, se encuentre con su versión masculina?",Shounen,MANHUA,I Am My Wife. ( 2016 ),"Comedia, Género Bender, Sobrenatural",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b4a51a668dcd.jpg,657,3K,5.9K,794,477,522,4ffad596-e3d6-4fc7-a81b-b12d37f07931
12,"¿Belleza? No me molestes, estoy muy ocupado aquí. ¿Dinero? Me gusta Pero no demasiado, Derecho Este ese si es mi favorito, ¡MIS Derechos Son Tan Grandes Pero tengo miedo! ¿Me llaman Jiang Ge? Ese era mi nombre anterior. Ahora la gente me llama ""Sr. Jiang"", siempre dice que soy...",Shounen,MANHUA,Sistema metropolitano ( 2017 - 6969 ),"Acción, Comedia, Harem, Artes Marciales, Reencarnación, Superpoderes",10.00,PAUSADO,https://otakuteca.com/images/books/cover/5ec08e87718bb.jpg,2.1K,5.6K,19K,4K,1.5K,1.4K,d6ab96d5-ab39-445f-9b2a-1fe10a90a86d
