,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"¿Que pasa cuando dos chicos y una atrevida chica se encuentran? no lo entiendo, pero no suena romántico. ¿O si? depende de tu definición de romántico, ¡Las formas de actuar de Doona, podrían llegar a ser las mas románticas que un hombre desearía!",Josei,MANHWA,Belleza Sádica ( 2016 ),"Ecchi, Drama, Romance, Harem",5.50,FINALIZADO,https://otakuteca.com/images/books/cover/5d38c62a67e98.jpg,12.3K,20.6K,24.3K,10.5K,4.6K,3.4K,cd1a5931-ab3a-4641-846b-f9548b0463ba
1,"Myeong-hoon"" que no puede llevarse bien con la gente de la compañía y se siente cansado de la compañía. Entonces, un día, a Iljin Sunlight, que se había molestado a sí mismo, le ofrecieron un ""corredor patrocinador"" para una sociedad comercial, y la vida de Myung-hoon en la escuela y la empresa cambió 180 grados.",Seinen,MANHWA,CADENA ALIMENTICIA ( 2020 ),"Drama, Realidad, Ecchi",7.50,FINALIZADO,https://otakuteca.com/images/books/cover/5ea88c0a661d5.jpg,695,2.4K,3.5K,1.2K,992,667,01f367fc-1933-4437-aa7f-f9fef916de2d
2,Información no completada,Josei,MANHWA,Just the way you are... ( 2019 ),"Girls Love, Realidad, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5d2710c893e26.jpg,325,1.1K,2.2K,370,218,177,132b52ee-413b-4e66-ab39-0a8e755c0258
3,"Conoce a Aimu Hanamichi, un joven que tiene una altura de 1.89 cm pero tiene un corazón tan suave como un oso de peluche. Constantemente lucha contra los estereotipos y los duros juicios de los demás. ¿Aprenderá Aimu a amarse a sí mismo como es, cambiará o se ahogará en la presión y la miseria de todos los conceptos erróneos que lo rodean?",Josei,MANHWA,Man Drowning In A Veil,"Comedia, Drama, Psicológico, Romance",9.67,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5dfaa26070ffc.jpg,680,3.7K,5.5K,2K,779,498,e82c8c0e-bf0f-4666-85d4-f5132e97a18d
4,"¡Doyun siguió a su enamoramiento de la secundaria Hosu a la universidad! Hosy se embriaga en la fiesta de bienvenida, y Doyun trata de ayudarlo a llegar a casa, pero Hosu está tan ebrio que terminan teniendo que quedarse en un motel. Doyun toma un condón que encontró al azar, ¡pero Hosu resulta despertarse en ese momento...! ¿Podrá Doyun confesarse a Hosu a pesar de su timidez?",Josei,MANHWA,Introduction To The Theory Of Love ( 2019 ),"Boys Love, Romance, Vida Escolar",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/5ea8e3deb17af.jpg,9.3K,4.5K,3.5K,3K,1.2K,271,a1d4dc63-405a-4f8b-a796-7c06150e06ae
5,"Hyunsoo se enamora del ídolo del campus, Kwon Jiwon, en la fiesta de bienvenida de los novatos. Pero Jiwon desaparece de repente una semana antes de las vacaciones de verano y aparece de nuevo... ¡¿Cómo un gato?! Una linda comedia romántica de una adorable pareja que lucha para que Jiwon vuelva a la normalidad.",Josei,MANHWA,Summer's Curse ( 2018 - 2018 ),"Boys Love, Fantasia, Vida Escolar",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/5eb5d04a8d88f.jpg,2.1K,1.6K,1.8K,922,465,166,ede3a36a-99d4-49f2-860e-f54a733f7a09
6,"Chei Kanggo tiene una habilidad peculiar que le permite ver a través del aroma los sentimientos y mentiras de las personas, que pasará cuando conozca a Oga Minin quien está enamorado de él ¿Qué aroma desprenderá?",Shounen,MANHWA,El Mejor Aroma ( 2016 - 2018 ),"Boys Love, Romance, Vida Escolar, Comedia",9.08,FINALIZADO,https://otakuteca.com/images/books/cover/5baecc754e7fb.jpg,3.1K,9.8K,13K,4.4K,2K,1K,c5a7e140-f295-4575-9035-b63a6b8f734b
7,"En su camino a un matrimonio arreglado una, arrogante princesa es emboscada y mantenida cautiva por bandidos hasta que es rescatada por un soldado cansado, hambriento y enojado. Todo lo que el caballero de armadura brillante quiere es dormir un poco después de regresar del campo de batalla pero tener a una princesa a lado se lo está haciendo difícil mas de una forma...",Josei,MANHWA,Asuras Bride ( 2018 ),"Historia, Romance",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/5ba5ac61962c8.jpg,3.7K,1.8K,4.1K,1.6K,437,242,67b80e65-7add-42fb-bb51-26d63235a1d3
8,"「¿Podré escapar de su obsesión y demencia? ¿Por qué me secuestró? ¡¿La respuesta será..?! 」 A causa de un trauma del pasado Cha JinYu, se volvió un joven solitario y aislado de todo. Un día, él estaba en la tienda de conveniencia que queda frente a su casa, fue entonces cuando fue secuestrado… Y cuando abrió los ojos , se hayaba en un lugar oscuro, allí ,estaba su compañero de secundaria, Yoo Gyeoul.",Josei,MANHWA,Como obedecer ( 2019 ),"Boys Love, Gore, Horror",6.40,FINALIZADO,https://otakuteca.com/images/books/cover/5cd5102167663.jpg,25.9K,12.2K,15.6K,8.6K,3.2K,2K,1fa3c63e-e523-4c54-b685-c349b52f49dd
9,"Park Sang Ah es una chica de 18 años que conoce a Dios después de morir en un accidente de tráfico. «Vine a cumplir la promesa que te hice en tu vida pasada» «Debo enviarte de vuelta a la dimensión donde viviste en tu vida anterior, con el poder que desees». Park Sang Ah, renace como una poderosa chica musculosa en un universo alternativo. ¿Su objetivo? ¡Crear su propio harem!",Josei,MANHWA,"En mi nueva vida, todos sufren por mi ( 2019 )","Aventura, Comedia, Harem, Reencarnación, Romance, Fantasia, Tragedia",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/63b09bf9e6e5f.jpg,245,1.2K,1.9K,602,329,271,c08cfe33-acba-46f3-9e53-2d6e012ef61b
