,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Una historia de asesinato y violencia, ""Unhinged"" sigue a Erika mientras camina por un camino de venganza. Hace siete años, Erika llegó a casa para encontrar a su marido asesinado. Incapaz de encontrar otros sospechosos, Erika fue declarada culpable y pasa la mayor parte de una década tramando su venganza desde el interior de una celda. Una vez liberada, se encuentra moviéndose más allá de los límites de la sociedad ""respetable"" y más allá de los grilletes de la moralidad. Se romperán las leyes, se perderán vidas y, sí, habrá sangre.",Seinen,MANHWA,Unhinged ( 2017 - 2019 ),"Drama, Tragedia, Misterio, Psicológico",7.67,FINALIZADO,https://otakuteca.com/images/books/cover/33536_TMOManga5a28737f3482a.jpg,1.4K,6.2K,5.8K,1.6K,827,397,b388ff7e-be40-4f64-8eb2-1b3617980b87
1,"Park Hyung Suk, con sobrepeso y poco atractivo, sufre bullying a diario. Pero un milagro sucederá...",Seinen,MANHWA,Lookism ( 2014 ),"Comedia, Drama, Recuentos de la vida, Vida Escolar, Romance",9.80,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/14849_TMOmanga022157.jpg,3.8K,16.3K,37.7K,13.9K,4.1K,2.2K,8f5f2296-bbc6-454c-ab01-dad4ee71e6e5
2,"Una noche, Sung-tae se encontro con sus ex-alumnas en un club nocturno, asi que se quedo a beber con ellas como una ultima reunion. Pero lo que no esperaba, era despertar al dia siguiente y descubrír que la persona a su lado resultó siendo ser..",Seinen,MANHWA,Love Lessons,"Drama, Romance, Harem, Ecchi",6.33,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e268e451e78d.jpg,1.9K,5.1K,10.1K,3.3K,2.3K,1.4K,db02f613-3b74-4ac9-a1eb-9e0610ee8a59
3,Un viaje para encontrar el tesoro de la Reina perdida. Su gran aventura comienza.,Seinen,MANHWA,Aire ( 2020 ),"Acción, Aventura, Drama, Fantasia, Magia, Romance, Superpoderes",8.50,PAUSADO,https://otakuteca.com/images/books/cover/5fa365387cc90.jpg,955,5.4K,8.9K,2.7K,1.3K,691,e1965d53-a2fc-4782-a965-e0e23cd5790b
4,La guerra entre el hombre y las bestias del Edén sigue su furia. Ningún hombre ha derramado más sangre en el campo de batalla que Vaughn Krugers en su búsqueda para encontrar el Edén y quemarlo hasta las cenizas,Seinen,MANHWA,Eden (Ins Lim) ( 2017 ),"Fantasia, Acción, Romance, Gore",3.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5badc8e154977.jpg,535,2.4K,6.5K,822,493,595,3c897076-59d7-4845-a4d3-0f9433807e6b
5,"Soo-Cheol esta enamorado de su maestra de matemáticas, pero no es solo un simple ""Enamoramiento"", si no tambien planea poco a poco convertirla en su mujer!",Seinen,MANHWA,Mi maestra,"Drama, Romance",7.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/61a6abadbb359.jpg,1.5K,5.8K,11.4K,3.3K,2.2K,1.7K,e28399f0-8340-4dfa-9ae2-6e407629b78f
6,"Para el padre de mi amiga solo soy una niña... él dice que piensa en mi como una hija pero, ¿él lo sabrá? Estoy fantaseando con él todos los días...",Seinen,MANHWA,As if Daughter,"Drama, Ecchi, Romance",6.00,FINALIZADO,https://otakuteca.com/images/books/cover/5edc624a5d839.jpg,4.3K,4K,7.6K,2.8K,2K,1.4K,d43a7a6c-d82a-4e06-aa88-f5477988da83
7,"Dejado solo frente al monasterio durante un momento problemático, se pensaba que Yub SeJun era un bebé normal y abandonado. Sin embargo, tenía el poder de cambiar el mundo de la manera que quería. En el mundo, todos seguían el cultivo clásico; Sin embargo, SeJun sigue su moral y crea un nuevo método de cultivo. ¿Puede convertirse en el nuevo héroe que sacará al mundo del caos?",Seinen,MANHWA,6 Worlds of Cultivation ( 2020 ),"Acción, Drama, Romance",7.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e26a43beff40.jpg,535,2.1K,5.6K,776,487,363,782965e5-f55c-4f2c-9037-6c0a99b5f666
8,"Bae Woong fue una vez un atleta fuerte y en forma, al menos en su mente. Ansioso por volver a su antiguo físico, va en busca de un gimnasio por el vecindario. Se topa con uno que parece extrañamente caro y discreto. Ni siquiera se le permite escuchar sobre los entrenamientos específicos que brindan hasta después de firmar un acuerdo de confidencialidad. Le resulta extraño, pero las mujeres que trabajan allí son muy atractivas y Woong no tiene nada que perder. Después de firmar el acuerdo, descubre el secreto de sus cuerpos: el sexo.",Seinen,MANHWA,Sexercise,"Comedia, Ecchi, Harem, Drama, Romance, Recuentos de la vida",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/5dcc685aa3e0a.jpg,4.9K,10K,27K,8K,5.1K,3.2K,3080a641-bbbd-415f-a5c6-3b0c416343eb
9,"Jae Woo fue una vez un importante conductor de noticias pero por algunos problemas fue reducido a un simple conductor del noticiero de madrugada, por otro lado su hermosa novia Kang So Yoon es la presentadora del bloque deportivo en el horario estelar de la estacion sin embargo es acosada por el gerente Park Won Bin quien esta obsesionada con ella, , la presentadora Chae Hae anhela convertirse en una presentadora exitosa y por ultimo la novata Min Hye Soo tambien busca convertirse en una conductora de noticias como su idolo Jae Woo",Seinen,MANHWA,PRESENTADORES DE NOTICIA ( 2019 ),"Comedia, Drama, Ecchi, Harem, Realidad, Romance",6.40,FINALIZADO,https://otakuteca.com/images/books/cover/5e196d1fd7495.jpg,2.2K,3.3K,5.2K,1.8K,1.3K,820,0303f3c3-d30c-454a-8074-a9b0b540acc2
