,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Un primer amor torpe y una inmadura estudiante de secundaria de 15 años. En la misma universidad que su primer amor con quien había roto, ¡se enfrentan de nuevo! Un joven de 20 años que todavía está confundido sobre lo que es el amor. ¿Pueden triunfar con confianza en uno mismo y enfrentarse en una relación?",Shoujo,MANHWA,Gatabutata ( 2019 - 2020 ),"Drama, Romance, Vida Escolar, Recuentos de la vida",9.33,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5dfef3145a973.jpg,480,2.6K,3.8K,1.2K,541,276,0b73c054-7ef5-4efa-9e77-b8d2b3a704cf
1,"Sungwoo ayuda a sus padres a administrar una floristería todos los fines de semana. Y Sungwoo tiene un cliente peculiar que ""solo debe comprar las flores que cuida Sungwoo"". Un día, el cliente de repente sugiere a Sungwoo que sea su jardinero. Cuando Sungwoo se negó debido a la universidad, ""¡Te seduciré!"" hace una declaración extraña. Entonces, un día, Sungwoo ve a Leo, que estaba oliendo la fragante flor, poniéndola en su boca ...",Shoujo,MANHWA,Ripe When the Flowers Bloom ( 2020 ),"Boys Love, Romance, Sobrenatural",7.50,FINALIZADO,https://otakuteca.com/images/books/cover/5f538d08eef52.jpg,4.7K,6.2K,5.3K,3K,1.5K,545,dad952a1-bc96-4f92-9d2d-5dc7be8df514
2,"200 años después de la colisión de asteroides, la humanidad había resucitado, pero no todos eran iguales. Im Yoon, quien era discriminado por ser un ""no inmune"", conoce a Lee Haejin, el pináculo de la evolución humana. El romance de ciencia ficción comienza con el encuentro del 5% inferior y el 0,001% superior.",Shoujo,MANHWA,Cuando la estrella duerme ( 2018 ),"Boys Love, Drama, Romance, Ciencia Ficción",10.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ba58b6aebdd6.jpg,346,3.3K,3.2K,854,574,276,3a800b11-a276-4d27-9c2e-6a57967f2702
3,"Eunjae ha estado perdiendo el sueño debido a algunos sueños decididamente perturbadores: algún tipo de ser de otro mundo sigue acosándolo en medio de la noche. Sus días están llenos de extrañas coincidencias y horas de su día parecen desaparecer... Entonces una noche, un hombre con una máscara extraña lo salva de ser atropellado por un autobús. Resulta que el hombre extraño no es un hombre en absoluto, sino un goblin. No pasará mucho tiempo antes de que Eunjae se vea obligado a aceptar que según el mundo del más allá, está muerto. Y ahora solo hay un ser que puede proteger que su cuerpo y su alma no se escapen: San, el goblin.",Shoujo,MANHWA,Fate Makes No Mistakes ( 2019 ),"Boys Love, Demonios, Drama, Sobrenatural",9.75,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/604abb3f86726.jpg,1.4K,8.4K,9.5K,3K,1.6K,904,c758b9f6-fc0c-4bf9-b98b-cd5ac24596e0
4,"obviamente soy la experta en los artículos falsos, ¡pero no sé por qué me convertí en su novia falsa! Hey Hey, déjame ir! ¡Todos se equivocaron de persona! El pequeño burro sigue cayendo en manos de otro burro mas grande aun, ¿quién es esta novia falsa?",Shoujo,MANHWA,Fake Bride,"Drama, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e9be1b08a960.jpg,375,1.6K,2.3K,1K,347,232,67db2358-e96b-45b8-80a0-667acbb2fa04
5,"Esta es una historia sobre Myunghan, que acaba de ingresar a la escuela secundaria, Sihoo, su amigo de la infancia, Seungchan, que de repente aparece entre los dos, y el extraño triángulo que se desarrolla entre los tres..",Shoujo,MANHWA,El último paraíso ( 2017 - 2019 ),"Boys Love, Romance, Drama, Psicológico, Tragedia, Vida Escolar",8.97,FINALIZADO,https://otakuteca.com/images/books/cover/36355_TMOManga5a925202a9d64.jpg,1.1K,5.4K,4.4K,1.5K,926,382,0632ccd7-b8da-437e-8a3e-e34ff78dc61e
6,"Ayato Keiichi es un gay cerrado, pero se está muriendo por experimentar algo del amor romantico que tanto leía en sus comics BL, hasta que finalmente asiste a una escuela de varones en la secundaria",Shoujo,MANHWA,Donde está mi historia BL ( 2018 ),"Boys Love, Romance",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5c46b70b09362.jpg,238,1.6K,1.8K,480,299,218,a5500d34-1b3c-41db-8ae3-3a6c19e8ed6c
7,"Esto se trata de una loca que es atropellada por un ""apuesto"" hombre (convenientemente rico) el cual quiere pagar la deuda por su pierna rota y los daños causados a su persona, de una manera algo ""peculiar"", quiere que se case con él. Lo cual parece no será tan sencillo, pero hay un pilar que puede inclinar la balanza a favor del hombre. El padre de la chica está enfermo, y como mencioné anteriormente el señor ""convenientemente rico"" está dispuesto a saldar la deuda del hospital. ¿Conseguirá trabajo la protagonista? O tendrá que depender del hombre que la atratropello? Todo en el siguiente capítulo",Shoujo,MANHWA,Hun Zha Bu Xiu,"Comedia, Drama, Romance",6.00,FINALIZADO,https://otakuteca.com/images/books/cover/5bdde95de278d.jpg,644,1.8K,3.7K,997,395,489,b9181811-563d-4ec6-b0a8-1cf3d6ccb7e7
8,"Kim Myo-Hee, una empleada de oficina que no podía pagar una gran deuda, decide suicidarse y salta del techo de un edificio. En ese momento, apareció la muerte frente a ella y le dio la oportunidad de vivir de una forma distinta. Cuando abrió los ojos, ¡la vida que ganó no era la de una humana sino la de un gato! Por otro lado, Cha Hyun-sung, gerente general de su antiguo trabajo KN Furniture, investiga contratos fraudulentos que lo llevan hacia Kim Myo-Hee, quien ahora es un gato, por lo que Cha Hyun-sung decide llevarla a su casa, sin saber que ese sería el inicio de sus problemas. ¡La extraña convivencia entre estos dos comienza bajo un mismo techo!",Shoujo,MANHWA,Una vida muy extraña,"Comedia, Romance, Fantasia, Reencarnación",8.33,FINALIZADO,https://otakuteca.com/images/books/cover/5fecf0596368f.jpg,3.6K,8K,12.5K,5.4K,2K,1.2K,f351f7fd-739b-4c6c-9c52-60ac8826cf9b
9,"Una chica que no quiere ir a una cita a ciegos se reúne con su amiga después de 5 años y le dicen que cambien de cuerpos en broma, pero lo intentan y a la mañana siguiente ¿Resulto?",Shoujo,MANHWA,Cero Distancia,"Girls Love, Recuentos de la vida, Sobrenatural",7.00,FINALIZADO,https://otakuteca.com/images/books/cover/5e8e672059920.jpg,914,594,891,383,137,64,239d3436-5744-4082-9013-68ccc8d7c397
