,synopsis,demography,type,name,genre,score,book_status,book_cover,read,pending,following,favorite,have,abandoned,uuid
0,"Nam Ji-il, un estudiante común que ingresó a la preparatoria Daemyung, famosa por ser una preparatoria de delincuentes. Desde el primer día de admisión, se convirtió en el objetivo de ILJIN y se convirtió en un recadero de pan conocido por todos los estudiantes. Un cuerpo débil con enfermedad cardíaca crónica, agredido y acosado por ILJIN, y los días dolorosos se repiten.",Shounen,MANHWA,Trigger ( 2020 ),"Acción, Drama, Artes Marciales, Sobrenatural",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5edc22f289fbe.jpg,487,2.3K,4.8K,1.2K,592,349,66251158-6b15-4e28-94bd-81a149ecb886
1,"Con el enamoramiento de Kang Dol por Yang Yang cada vez más y más grande, decide confesar sus sentimientos. De espaldas a ella, hace una valiente confesión. Pero cuando abre los ojos y se da vuelta, en lugar de Yang Yang, encuentra a Min Dosim parado frente a él. ¡¿Ups?! ¡Pero el giro más impactante es que Dosim, la chica más popular de la escuela, acepta por error y deciden salir! ¿Qué se supone que debe hacer Kang Dol para arreglar este lío?",Shounen,MANHWA,Doridosim ( 2016 ),"Drama, Romance, Recuentos de la vida, Comedia, Realidad, Vida Escolar",7.75,FINALIZADO,https://otakuteca.com/images/books/cover/5b785052dd903.jpg,8.9K,5.4K,8.3K,2.3K,825,420,064184c8-9351-482a-8da5-1b66308ea0fb
2,"En un mundo de batallas, existe alguien que es llamado ""El Oscuro Dios de la Guerra"" el cual es un extraordinario guerrero malvado que sufrió mucho en su vida. Un día un ejercito va tras él y logran asesinarlo, pero... EL REENCARNO. Volvió a nacer después de su muerte, pero esta vez él posee todos sus recuerdos. ¿Sera que ahora podrá seguir el camino del bien y volverse aun más fuerte de lo que era antes?",Shounen,MANHWA,The Scholar's Reincarnation ( 2016 ),"Acción, Reencarnación, Sobrenatural, Artes Marciales, Romance, Samurái",9.29,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5cfaad2c3e92d.jpg,2.6K,9.6K,37.6K,5.4K,2.2K,1.5K,47c1ccd6-2ecc-4dab-aa43-e628358c305e
3,"Rosè Duprè, es una bella jovencita que desde que tiene memoria ha sido acosada por los pobladores debido a que su madre es considerada una bruja en su aldea, teniendo un único amigo inseparable al cual adora, Pèter Grand. El pueblo guarda el secreto de que hace diez años, una bruja hermosa y sanguinaria, habitante de un castillo con un demonio de ojos brillantes, asesinaba y comía a aquél que se atreviera a entrar en sus dominios. Después de diez años, en el pueblo comienzan a aparecer ovejas masacradas que recuerdan aquella historia de antaño. ¡¿La bruja ha vuelto a la vida?!",Josei,MANHWA,El caballo Palido ( 2018 ),"Acción, Aventura, Demonios, Drama, Apocalíptico, Fantasia, Horror, Misterio, Policiaco, Psicológico, Reencarnación, Sobrenatural, Thriller, Romance, Recuentos de la vida",8.87,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5eab76c569dc2.jpg,567,5K,4.8K,1.7K,1.1K,644,92950f51-adb4-4926-a715-2466c6cd4bdf
4,"¿Qué pasa si puedes reiniciar tu vida con una configuración diferente como un juego? Dongtae, un joven estudiante que sufre bullying por parte de sus presumidos compañeros, hace uso de un dado misterioso, dicho dado tiene el poder de mejorar las habilidades y cualidades de quien lo use.",Shounen,MANHWA,DICE - El cubo que lo cambia todo ( 2013 ),"Acción, Drama, Vida Escolar, Romance, Superpoderes",7.19,FINALIZADO,https://otakuteca.com/images/books/cover/5bc8d7b6f114b.jpg,6.7K,16.7K,37.2K,5.1K,2.2K,2.7K,1e4cea31-1418-43fb-b6b1-0bcb40b1ca35
5,"Isaac es un estudiante superior de aspecto aterrador. Todo el mundo le tiene miedo, pero en realidad solo quiere amigos y una vida escolar divertida. Un día es atacado por una súcubo llamada Anastasia que intenta robar su alma virgen. Un reboot de la versión original con un nuevo artista.",Shounen,MANHWA,My Succubus Girlfriend [New],"Comedia, Demonios, Fantasia, Romance, Vida Escolar",0.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/612435e79c550.jpg,488,2.2K,3.9K,1.1K,568,275,9d13991a-7762-4d3d-9540-70bf6f1347c6
6,Información no completada,Shounen,MANHWA,My Succubus Girlfriend Temporada 2 ( 2018 ),"Comedia, Demonios, Ecchi, Fantasia, Vida Escolar",0.00,CANCELADO,https://otakuteca.com/images/books/cover/5bde26ee234ed.jpg,1.1K,1.6K,4.6K,577,264,337,ea3fad61-1f6f-459f-97e0-431378b00881
7,"Kin Han Soo mató al Rey Demonio después de 10 años de ser invocado a un mundo de fantasía. Ahora es tiempo de regresar a la tierra. ¿Qué es esto? El dios del mundo de fantasía aparece al lado de su estado, porque destruyó a todos los obstáculos que le prevenían matar al Rey Demonio, la puntuación de su personalidad fue una F. El problema ahora es que debe regresar y volver a empezar de nuevo. ¿Podrá Kang Hang Soo terminar este regreso infinito?",Shounen,MANHWA,FFF-Class Trashero ( 2019 ),"Acción, Aventura, Demonios, Fantasia, Magia, Reencarnación, Harem",8.35,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5dcc685c0d3a4.jpg,3K,11.2K,35.2K,7.9K,2.9K,2.3K,db4bb941-f38f-4543-b97d-7fa57e6939b2
8,"El cazador que se quedo atrapado 12 años en la torre del tutorial limpiandola, desde el piso 1 al piso 100 en un solo dia",Shounen,MANHWA,La torre del tutorial con el jugador avanzado ( 2020 ),"Acción, Aventura, Fantasia, Magia, Comedia, Sobrenatural",7.63,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ea9344f5c3e3.jpg,4.7K,15.8K,51.5K,12.2K,4.5K,2.7K,d14a3bdd-dffb-4d1f-9683-9831c9b06a66
9,Los humanos viven en el mundo y los demonios en el inframundo. Hay una sola manera para que los humanos viajen entre los mundos. La última esperanza de la humanidad: WARBLE.,Shounen,MANHWA,WARBLE ( 2019 ),"Acción, Fantasia, Demonios",8.00,FINALIZADO,https://otakuteca.com/images/books/cover/5c62598f35c3c.jpg,2.2K,5.3K,11.6K,2.1K,1.1K,844,3e791a88-d911-4533-b375-85271e9291c5
10,"El nuevo maestro de Inglés, Chun-woo, no es un maestro ordinario. Shioon, una víctima de intimidación constante, de forma inesperada es testigo del poder de combate de su profesor Chun-Woo, y le pide ser su discípulo a lo cual Chun-woo se niega rotundamente ya que dice que no tiene lo necesario para aprender artes marciales, pero shioon tiene un as bajo la manga ya que tiene un vídeo grabado desde su celular en el cual se ve a Chun-woo propinarles una paliza a un grupo de delincuentes el solo, por lo que queriendo o no toma a shioon como su dicipulo, con la única condición de que Shioon debe de estar realmente determinado para aprender a pelear. Resulta, sin embargo, que Chun-Woo y sus poderes son más de lo que parece. Shioon hace una gran entrada en el mundo oculto de las artes marciales, y él está a punto de aprender las mejores técnicas marciales.",Shounen,MANHWA,The Breaker ( 2007 ),"Acción, Comedia, Drama, Sobrenatural, Vida Escolar, Artes Marciales",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/5c020475e4963.jpg,16K,9.6K,12.8K,3.3K,1.3K,563,9f5a2c63-49c4-4d98-aaa3-8f53b4c5812d
11,"Su prometida perdió a sus padres así que estará viviendo con la familia Hyeon, pero Sang-Won es un estudiante de secundaria ¿¡Y su prometida una joven chica de 24 años!? Sang-Won, intenta negar que su prometida sea 9 años mayor que él, pero al ver que no actúa para nada según su edad comienza a sentirse cómodo cerca de ella. La prometida parece amable e inocente por fuera, pero por dentro... De IM Dal-Young autor de reconocidas series como Unbalance y Freezing.",Shounen,MANHWA,The Fiancées Live Together ( 2017 ),"Comedia, Romance, Ecchi, Recuentos de la vida",6.67,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5b3be0daf2369.jpg,4.1K,6.6K,21.5K,2.5K,1K,1K,77cd0d34-4797-44e9-9e16-ca5ed83f9253
12,"Que es lo que deseas? Dinero? Gloria? Poder? Venganza? o algo que sobrepasa todo lo demás? Lo que sea que desees... eso esta aquí... en la Torre de Dios. Un niño que entra en esta torre, solo con el deseo de encontrar a su amiga i la aventura que se encuentra al intentar subirla",Shounen,MANHWA,Tower of God ( 2010 ),"Acción, Aventura, Superpoderes, Magia, Artes Marciales, Tragedia",8.91,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e94b820e3a4c.jpg,3.7K,21.2K,63.7K,10.6K,3K,2.2K,66a477eb-7024-4ec6-90a3-3caf9083a251
13,"secuela de dokgo! despues de conseguir venganza por su hermano mayor, una nueva historia comienza para kang hyuk!",Shounen,MANHWA,Dokgo 2 ( 2016 ),"Acción, Artes Marciales, Vida Escolar",9.22,FINALIZADO,https://otakuteca.com/images/books/cover/34830_TMOManga5a66302310068.jpg,419,1.1K,2K,331,169,70,2d8a9a96-2529-46e3-bc89-be66b5ef78ec
14,"La escuela Wild es un prestigioso centro educativo privado exclusivo para que chicas de familias poderosas entrenen y se conviertan en excelentes luchadoras, para luego competir en el torneo de artes marciales más popular del país. Pero este último curso, la escuela decide aceptar también a chicos, y Song Jae Gu, entra como el primer chico en la escuela gracias a una beca de tres años, que le ayudará a mantener a su familia...",Shounen,MANHWA,Las chicas de Wild ( 2011 ),"Acción, Comedia, Drama, Romance, Vida Escolar, Artes Marciales, Recuentos de la vida, Deporte",6.57,FINALIZADO,https://otakuteca.com/images/books/cover/8976_TMOmanga.jpg,16.2K,7.8K,14K,2.2K,787,565,e4ac7eed-5cc7-4d40-bfe9-8a758f48677c
15,"Después de perder a su mujer e hija en un terrible accidente, Yun-Jae sigue su vida cotidiana hasta que recibe un diario de su yo del futuro. ""Puedo ver... ¿A mi mujer e hija de nuevo?"" Al ganar los ""juegos"" en el ""mundo paralelo,"" uno recibirá un ""premio,"" y usando ésto, él podría revivir a su familia muerta... Pero, de todos los sobrevivientes de este mundo cruel, Yun-Jae es el único con el conocimiento del futuro. ¿Podrá volver su gran deseo en realidad?",Shounen,MANHWA,The Live ( 2020 ),"Acción, Crimen, Drama, Fantasia, Horror, Psicológico",9.50,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e8f7957ee416.jpg,2.9K,10K,31.9K,6.7K,2.9K,1.5K,3e212bba-c1c1-4c3f-bd30-da3f282ddef0
16,"Un año después de la muerte de su hermano gemelo (Hu Kang) y la de su padre, su familia hecho pedazos y con un sentimiento de venganza, Hyuk Kang; más conocido como “Dokgo” regresa a la escuela con la identidad de su difunto hermano. Trata de derrotar el círculo u organización de matones de la escuela que su hermano intentó derrocar. Para lograrlo tendrá que pasar por encima de todos los matones y jefes de la escuela derrotándolos y engañándolos.",Shounen,MANHWA,Dokgo ( 2012 - 2014 ),"Artes Marciales, Acción, Vida Escolar, Drama",9.00,FINALIZADO,https://otakuteca.com/images/books/cover/16919_TMOManga576cb777b7480.jpg,3.8K,2.7K,3.9K,689,365,171,b1382379-e1b2-47c5-a2df-3eb82b7bffa2
17,El Steam Dragon Express es una academia mágica que busca entrenar los mejores aventureros,Shounen,MANHWA,The Steam Dragon Express ( 2018 ),"Acción, Aventura, Comedia, Fantasia, Magia, Sobrenatural, Vida Escolar",10.00,FINALIZADO,https://otakuteca.com/images/books/cover/5c30eff9de159.jpg,539,2.7K,3.7K,604,414,600,3d47c2ad-6ed2-40f4-a21a-b312ed6507da
18,"Jung Itae puede que sea el primero en admitir que es un psicópata a la enfermera de la escuela , pero en definitiva no es el último. Por consiguiente. La señorita Kim ha estado lidiando con un montón de psicópatas de secundaria... no es como si alguno de ellos encajara en ese perfil. Pero indagando un poco más a fondo al parecer todos en la escuela, incluyendo la facultad, están escondiendo un secreto... como la obsesión de Intae por la señorita Kim. Y la ansiedad de la señorita Kim parecer ser abrumadora en ocasiones. Alguien en la escuela realmente es un psicópata. ¿Pero quién?",Josei,MANHWA,Mi estudiante no puede ser un psicópata ( 2018 ),"Romance, Comedia, Drama, Vida Escolar",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ccbadcacd92f.jpg,360,2.3K,3.9K,799,406,293,72fb6598-5b6d-47ee-9ef2-96e509b9745c
19,"Un hombre vivió durante una gran guerra que destruyo a su país, el logro sobrevivir a ella. Cuando esta a punto de morir pasa un suceso extraño... Espera, ¿Volvió al pasado?. Y, ¿También conserva sus recuerdos del futuro?... Sera que ahora que conoce todo lo que pasara, podrá evitar esa guerra y salvar a sus amigos ¿Ahora sí hará algo de heroico con su vida?.",Shounen,MANHWA,Volcanic Age ( 2017 ),"Acción, Aventura, Fantasia, Reencarnación, Romance, Artes Marciales, Harem",9.67,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5ff39ea18fd6a.jpg,2.7K,8.8K,31.8K,6.3K,2.5K,1.4K,f8afd195-0bc4-462b-b919-a4ee3c2c261c
20,"Jeanne, una prostituta de la calle 74, ayudó a una Janet herida. Jeanne quiere hacerse amiga de Janet, pero Janet trata de sacarle información a ella.",Shounen,MANHWA,Living will ( 2019 ),"Acción, Crimen, Girls Love, Romance, Tragedia, Drama, Psicológico",0.00,FINALIZADO,https://otakuteca.com/images/books/cover/5d3e67ca83a4b.jpg,2.5K,2K,2.2K,1.1K,422,183,66a250d1-3ab5-4505-8251-ab7fbce9c7d1
21,"Después de una misión en la que le ha ido mal, el personaje principal dudoso, Rood, se le envía a una famosa escuela de magia, Helios. Aquí, él debe proteger al hijo de una persona importante que tiene un muy mal momento en la escuela. -",Shounen,MANHWA,Black Haze ( 2013 ),"Acción, Comedia, Sobrenatural, Misterio, Vida Escolar, Magia, Demonios",7.50,PAUSADO,https://otakuteca.com/images/books/cover/9248_TMOmanga.jpg,1.7K,5.8K,10.3K,1.4K,693,744,c945a983-d946-4a4c-a2c1-2a6a0149b8f5
22,"De un niño ladrón a uno que sacudiría el mundo. Ascendiendo al título de Maestro inmortal, una de las doce estrellas divinas, pero finalmente traicionado. Ahora, se le ha dado la oportunidad de cambiar eso y crear un futuro mejor, tanto para él como para el mundo. Basado en la popular novela del mismo nombre.",Shounen,MANHWA,"Immortal, Invincible ( 2018 )","Acción, Aventura, Fantasia, Artes Marciales, Reencarnación",8.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/626305e2c7f56.jpg,614,2.5K,5.7K,1K,639,423,43e54d76-56a5-43f3-92ea-89856675ebe3
23,"Geni estaba muerto y quiere volver a la vida. Para volver a su mundo original y vengarse de lo que hicieron sus hermanos. Debe completar la misión en cada mundo organizado por el Sistema para él. Geni: ""¡Hola, Sistema! ¿Qué misión debo completar? Sistema: ""¡Captura el corazón del protagonista masculino y haz que se enamore de ti!"" Geni: ""...""",Josei,MANHWA,Change Your Path ( 2019 ),"Boys Love, Fantasia, Reencarnación, Romance, Ciencia Ficción, Realidad Virtual",9.00,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5eaaf9aa292ec.jpg,1.7K,9.2K,9.9K,4.1K,2.2K,1.1K,c1b165fe-f2aa-40d6-b7d4-33a708f97a0b
24,"Shin Youngwoo ha tenido una vida desafortunada y ahora está atascado llevando ladrillos en los sitios de construcción. E incluso tuvo que trabajar en el juego de realidad virtual, ¡Satisfy! Sin embargo, la suerte pronto entraría en su vida sin esperanza. Su personaje, 'Grid', descubriría la Cueva Norteña del Fin por una misión, y en ese lugar, encontraría el Libro Raro de Pagma y se convertiría en un jugador con una clase legendaria...",Shounen,MANHWA,Overgeared,"Acción, Aventura, Fantasia, Magia, Realidad Virtual",7.67,PUBLICÁNDOSE,https://otakuteca.com/images/books/cover/5e83a1879ce82.jpg,2.9K,9K,31.1K,8.1K,2.6K,1.3K,864775ca-78ad-4587-83c6-aaa0116f8bdf
25,"¿Cuáles son las probabilidades de que alguien por el o la que estas flechado sienta lo mismo por ti? ¿Qué les pasará a estos dos amantes secretos? ¿Sabrán alguna vez que ellos están, de hecho, enamorados el uno del otro?",Shounen,MANHWA,Secret Crush ( 2016 ),"Romance, Vida Escolar, Comedia, Recuentos de la vida",8.99,FINALIZADO,https://otakuteca.com/images/books/cover/5cd4d6ef9d2c6.jpg,2.4K,5.9K,8.5K,1.6K,878,590,caa3cb28-60a4-4ba7-bdc5-59e986f93ff8
